Date,PEL-EQ O,PEL-EQ H,PEL-EQ L,PEL-EQ C,PEL-EQ V
9/14/2018 3:29:00 PM,3055,3056,3045.25,3048,3002
9/14/2018 3:28:00 PM,3054.55,3057.25,3050.1,3051.7,1931
9/14/2018 3:27:00 PM,3057.35,3058,3054,3056.9,2719
9/14/2018 3:26:00 PM,3056.6,3059,3053.35,3054.5,1924
9/14/2018 3:25:00 PM,3057.8,3059,3054.85,3058.5,3259
9/14/2018 3:24:00 PM,3053.2,3057.65,3050.25,3057,2864
9/14/2018 3:23:00 PM,3049.85,3054,3048.25,3052.65,2812
9/14/2018 3:22:00 PM,3051,3051.05,3048.45,3049.75,1771
9/14/2018 3:21:00 PM,3046.25,3051.85,3045.45,3050.1,1852
9/14/2018 3:20:00 PM,3043,3046.25,3041.25,3046.15,2662
9/14/2018 3:19:00 PM,3049.1,3050,3042,3043,1947
9/14/2018 3:18:00 PM,3048.95,3051.45,3047,3049.45,4853
9/14/2018 3:17:00 PM,3049.95,3049.95,3046.55,3047.3,870
9/14/2018 3:16:00 PM,3048,3052.7,3046.4,3049.8,5042
9/14/2018 3:15:00 PM,3046.1,3050.4,3045,3048,5018
9/14/2018 3:14:00 PM,3042.9,3048,3042.5,3046.1,2102
9/14/2018 3:13:00 PM,3040,3044.75,3039.45,3042.4,1092
9/14/2018 3:12:00 PM,3040.7,3042.8,3039.55,3039.55,3950
9/14/2018 3:11:00 PM,3044.1,3044.65,3040.75,3040.75,1581
9/14/2018 3:10:00 PM,3040,3044.25,3039.7,3044.1,1877
9/14/2018 3:09:00 PM,3040.65,3042.7,3039.3,3039.95,3387
9/14/2018 3:08:00 PM,3044.05,3046.65,3040,3040.1,2376
9/14/2018 3:07:00 PM,3047.8,3049.95,3045.05,3045.05,1317
9/14/2018 3:06:00 PM,3049,3050,3047,3047.8,1146
9/14/2018 3:05:00 PM,3047.6,3049.95,3047.45,3048,1119
9/14/2018 3:04:00 PM,3052.65,3054.9,3047.6,3047.65,2361
9/14/2018 3:03:00 PM,3049.25,3055,3049.15,3054.15,3172
