Date,PNB-EQ O,PNB-EQ H,PNB-EQ L,PNB-EQ C,PNB-EQ V
9/14/2018 3:29:00 PM,82.7,82.9,82.7,82.9,118652
9/14/2018 3:28:00 PM,82.65,82.75,82.65,82.75,70715
9/14/2018 3:27:00 PM,82.75,82.75,82.65,82.7,95975
9/14/2018 3:26:00 PM,82.65,82.75,82.65,82.7,136659
9/14/2018 3:25:00 PM,82.7,82.7,82.6,82.65,36536
9/14/2018 3:24:00 PM,82.65,82.75,82.6,82.65,91696
9/14/2018 3:23:00 PM,82.75,82.75,82.65,82.65,151928
9/14/2018 3:22:00 PM,82.7,82.75,82.65,82.65,58848
9/14/2018 3:21:00 PM,82.65,82.75,82.65,82.7,77253
9/14/2018 3:20:00 PM,82.8,82.8,82.65,82.65,80016
9/14/2018 3:19:00 PM,82.7,82.8,82.6,82.8,82396
9/14/2018 3:18:00 PM,82.65,82.75,82.6,82.7,162303
9/14/2018 3:17:00 PM,82.65,82.65,82.55,82.6,60739
9/14/2018 3:16:00 PM,82.7,82.7,82.6,82.6,151912
9/14/2018 3:15:00 PM,82.7,82.8,82.65,82.65,106888
9/14/2018 3:14:00 PM,82.75,82.75,82.7,82.75,58895
9/14/2018 3:13:00 PM,82.75,82.75,82.7,82.75,76092
9/14/2018 3:12:00 PM,82.85,82.85,82.7,82.75,120628
9/14/2018 3:11:00 PM,82.85,82.9,82.8,82.8,55400
9/14/2018 3:10:00 PM,82.8,82.9,82.8,82.9,167270
9/14/2018 3:09:00 PM,82.9,82.95,82.8,82.85,102578
9/14/2018 3:08:00 PM,82.95,83,82.9,82.9,46995
9/14/2018 3:07:00 PM,83,83.05,82.95,83,41846
9/14/2018 3:06:00 PM,83.1,83.1,83,83,55592
9/14/2018 3:05:00 PM,82.95,83.15,82.85,83,237310
9/14/2018 3:04:00 PM,83,83,82.85,82.95,46252
9/14/2018 3:03:00 PM,83,83.05,83,83,57954
9/14/2018 3:02:00 PM,83,83.05,82.95,83.05,32961
9/14/2018 3:01:00 PM,83,83,82.9,83,66632
9/14/2018 3:00:00 PM,82.85,83,82.85,82.9,77534
9/14/2018 2:59:00 PM,82.8,82.9,82.75,82.85,22689
9/14/2018 2:58:00 PM,82.85,82.9,82.7,82.8,131529
9/14/2018 2:57:00 PM,82.9,82.95,82.85,82.85,71624
9/14/2018 2:56:00 PM,83.1,83.1,82.85,82.9,199009
9/14/2018 2:55:00 PM,83.05,83.1,83,83.1,78621
9/14/2018 2:54:00 PM,83.15,83.15,83.05,83.1,53037
9/14/2018 2:53:00 PM,83.25,83.3,83.1,83.15,170191
9/14/2018 2:52:00 PM,83.15,83.3,83.1,83.3,297681
9/14/2018 2:51:00 PM,82.95,83.15,82.95,83.15,116920
9/14/2018 2:50:00 PM,82.95,83,82.9,82.95,62979
9/14/2018 2:49:00 PM,83.1,83.1,82.9,82.95,115937
9/14/2018 2:48:00 PM,83,83.2,83,83.1,228103
9/14/2018 2:47:00 PM,83.2,83.2,82.9,83,231865
9/14/2018 2:46:00 PM,82.85,83.15,82.85,83.1,402339
9/14/2018 2:45:00 PM,82.7,82.95,82.7,82.85,343491
9/14/2018 2:44:00 PM,82.65,82.7,82.65,82.7,83637
9/14/2018 2:43:00 PM,82.65,82.7,82.6,82.65,8704
9/14/2018 2:42:00 PM,82.6,82.7,82.6,82.65,47201
9/14/2018 2:41:00 PM,82.65,82.65,82.6,82.65,11721
9/14/2018 2:40:00 PM,82.65,82.7,82.6,82.65,25139
9/14/2018 2:39:00 PM,82.6,82.7,82.55,82.65,64764
9/14/2018 2:38:00 PM,82.65,82.7,82.55,82.55,41521
9/14/2018 2:37:00 PM,82.65,82.7,82.65,82.65,15157
9/14/2018 2:36:00 PM,82.7,82.75,82.65,82.65,37153
9/14/2018 2:35:00 PM,82.65,82.75,82.65,82.75,35328
9/14/2018 2:34:00 PM,82.65,82.7,82.6,82.65,24724
9/14/2018 2:33:00 PM,82.65,82.7,82.6,82.65,25564
9/14/2018 2:32:00 PM,82.7,82.7,82.65,82.65,18615
9/14/2018 2:31:00 PM,82.65,82.75,82.6,82.7,21460
9/14/2018 2:30:00 PM,82.75,82.75,82.6,82.65,17802
9/14/2018 2:29:00 PM,82.75,82.8,82.7,82.75,76260
9/14/2018 2:28:00 PM,82.75,82.8,82.7,82.75,52869
9/14/2018 2:27:00 PM,82.65,82.75,82.6,82.75,187830
9/14/2018 2:26:00 PM,82.65,82.7,82.65,82.65,63276
9/14/2018 2:25:00 PM,82.55,82.7,82.5,82.7,189658
9/14/2018 2:24:00 PM,82.45,82.55,82.45,82.55,14341
9/14/2018 2:23:00 PM,82.45,82.5,82.45,82.5,17998
9/14/2018 2:22:00 PM,82.45,82.5,82.45,82.5,34280
9/14/2018 2:21:00 PM,82.45,82.5,82.45,82.5,27107
9/14/2018 2:20:00 PM,82.5,82.5,82.45,82.45,13730
9/14/2018 2:19:00 PM,82.45,82.5,82.45,82.5,8958
9/14/2018 2:18:00 PM,82.5,82.55,82.45,82.45,11337
9/14/2018 2:17:00 PM,82.5,82.55,82.5,82.5,4123
9/14/2018 2:16:00 PM,82.5,82.55,82.5,82.5,12845
9/14/2018 2:15:00 PM,82.55,82.55,82.5,82.5,7300
9/14/2018 2:14:00 PM,82.5,82.55,82.5,82.5,7555
9/14/2018 2:13:00 PM,82.55,82.55,82.5,82.5,979
9/14/2018 2:12:00 PM,82.55,82.55,82.45,82.55,8078
9/14/2018 2:11:00 PM,82.55,82.6,82.5,82.55,8174
9/14/2018 2:10:00 PM,82.45,82.55,82.45,82.55,27781
9/14/2018 2:09:00 PM,82.4,82.5,82.4,82.45,10404
9/14/2018 2:08:00 PM,82.5,82.5,82.4,82.4,13244
9/14/2018 2:07:00 PM,82.4,82.5,82.4,82.5,30326
9/14/2018 2:06:00 PM,82.4,82.5,82.4,82.45,21969
9/14/2018 2:05:00 PM,82.4,82.45,82.35,82.4,155871
9/14/2018 2:04:00 PM,82.5,82.5,82.4,82.45,11398
9/14/2018 2:03:00 PM,82.5,82.55,82.45,82.5,43196
9/14/2018 2:02:00 PM,82.55,82.6,82.5,82.5,79445
9/14/2018 2:01:00 PM,82.6,82.6,82.55,82.55,17247
9/14/2018 2:00:00 PM,82.55,82.65,82.55,82.6,22920
9/14/2018 1:59:00 PM,82.65,82.65,82.55,82.6,28027
9/14/2018 1:58:00 PM,82.7,82.7,82.6,82.65,12652
9/14/2018 1:57:00 PM,82.6,82.7,82.6,82.7,39990
9/14/2018 1:56:00 PM,82.6,82.65,82.6,82.6,18865
9/14/2018 1:55:00 PM,82.6,82.6,82.55,82.6,5308
9/14/2018 1:54:00 PM,82.6,82.65,82.55,82.55,12195
9/14/2018 1:53:00 PM,82.65,82.65,82.6,82.6,6982
9/14/2018 1:52:00 PM,82.65,82.65,82.6,82.65,5555
9/14/2018 1:51:00 PM,82.65,82.7,82.6,82.65,21666
9/14/2018 1:50:00 PM,82.7,82.7,82.55,82.65,19963
9/14/2018 1:49:00 PM,82.65,82.7,82.65,82.65,8576
9/14/2018 1:48:00 PM,82.6,82.7,82.6,82.65,11298
9/14/2018 1:47:00 PM,82.65,82.65,82.6,82.6,9818
9/14/2018 1:46:00 PM,82.65,82.65,82.6,82.6,19705
9/14/2018 1:45:00 PM,82.7,82.7,82.6,82.65,13450
9/14/2018 1:44:00 PM,82.6,82.7,82.6,82.7,24041
9/14/2018 1:43:00 PM,82.5,82.65,82.5,82.6,84259
9/14/2018 1:42:00 PM,82.6,82.6,82.5,82.5,6046
9/14/2018 1:41:00 PM,82.55,82.6,82.55,82.6,4271
9/14/2018 1:40:00 PM,82.55,82.55,82.5,82.55,12089
9/14/2018 1:39:00 PM,82.5,82.55,82.45,82.55,13501
9/14/2018 1:38:00 PM,82.55,82.6,82.45,82.5,14632
9/14/2018 1:37:00 PM,82.5,82.55,82.45,82.55,15194
9/14/2018 1:36:00 PM,82.4,82.5,82.4,82.5,19767
9/14/2018 1:35:00 PM,82.55,82.6,82.4,82.4,93313
9/14/2018 1:34:00 PM,82.6,82.6,82.55,82.55,20621
9/14/2018 1:33:00 PM,82.55,82.6,82.5,82.6,9472
9/14/2018 1:32:00 PM,82.45,82.6,82.45,82.5,32789
9/14/2018 1:31:00 PM,82.45,82.5,82.4,82.4,16412
9/14/2018 1:30:00 PM,82.5,82.5,82.4,82.45,68315
9/14/2018 1:29:00 PM,82.6,82.6,82.45,82.5,128216
9/14/2018 1:28:00 PM,82.55,82.6,82.55,82.6,16729
9/14/2018 1:27:00 PM,82.6,82.65,82.55,82.6,48035
9/14/2018 1:26:00 PM,82.6,82.7,82.55,82.6,7073
9/14/2018 1:25:00 PM,82.55,82.7,82.55,82.6,29613
9/14/2018 1:24:00 PM,82.6,82.65,82.55,82.55,18953
9/14/2018 1:23:00 PM,82.65,82.65,82.6,82.65,6925
9/14/2018 1:22:00 PM,82.6,82.65,82.55,82.65,14727
9/14/2018 1:21:00 PM,82.6,82.65,82.55,82.6,11456
9/14/2018 1:20:00 PM,82.65,82.7,82.6,82.6,18363
9/14/2018 1:19:00 PM,82.55,82.7,82.55,82.65,15500
9/14/2018 1:18:00 PM,82.7,82.7,82.55,82.55,51926
9/14/2018 1:17:00 PM,82.75,82.75,82.65,82.7,23662
9/14/2018 1:16:00 PM,82.7,82.75,82.65,82.7,70770
9/14/2018 1:15:00 PM,82.7,82.7,82.65,82.65,7659
