Date,POWERGRID-EQ O,POWERGRID-EQ H,POWERGRID-EQ L,POWERGRID-EQ C,POWERGRID-EQ V
9/14/2018 3:29:00 PM,199.95,200,199.8,200,23492
9/14/2018 3:28:00 PM,199.95,200,199.95,200,12740
9/14/2018 3:27:00 PM,200,200,199.85,200,40310
9/14/2018 3:26:00 PM,199.85,200,199.85,200,34823
9/14/2018 3:25:00 PM,199.75,199.95,199.75,199.95,34486
9/14/2018 3:24:00 PM,199.85,200,199.75,199.8,74039
9/14/2018 3:23:00 PM,199.95,200,199.85,199.85,78756
9/14/2018 3:22:00 PM,199.55,200,199.5,199.95,46533
9/14/2018 3:21:00 PM,199.45,199.95,199.45,199.55,80750
9/14/2018 3:20:00 PM,199.85,199.85,199.45,199.5,70708
9/14/2018 3:19:00 PM,200.05,200.2,199.85,199.9,50820
9/14/2018 3:18:00 PM,200.2,200.35,200.05,200.05,147586
9/14/2018 3:17:00 PM,200.15,200.4,200.05,200.1,88371
9/14/2018 3:16:00 PM,200.15,200.4,200.05,200.15,110219
9/14/2018 3:15:00 PM,200.1,200.3,200,200.15,106278
9/14/2018 3:14:00 PM,200.2,200.25,200.05,200.15,47152
9/14/2018 3:13:00 PM,200.2,200.4,200,200.1,75658
9/14/2018 3:12:00 PM,200.1,200.4,200.1,200.2,53861
9/14/2018 3:11:00 PM,200.25,200.35,200.1,200.1,44399
9/14/2018 3:10:00 PM,200.2,200.45,200.15,200.35,69238
9/14/2018 3:09:00 PM,200.35,200.5,200.2,200.2,62590
9/14/2018 3:08:00 PM,200.35,200.5,200.3,200.35,55068
9/14/2018 3:07:00 PM,200.6,200.7,200.35,200.35,59102
9/14/2018 3:06:00 PM,200.4,200.55,200.35,200.55,54147
9/14/2018 3:05:00 PM,200.45,200.65,200.35,200.45,44883
9/14/2018 3:04:00 PM,200.4,200.65,200.35,200.45,39851
9/14/2018 3:03:00 PM,200.4,200.65,200.4,200.4,38022
9/14/2018 3:02:00 PM,200.45,200.55,200.3,200.35,56491
9/14/2018 3:01:00 PM,200.4,200.8,200.3,200.45,65785
9/14/2018 3:00:00 PM,200.1,200.45,200.05,200.3,53456
9/14/2018 2:59:00 PM,200.1,200.3,200.05,200.05,27250
9/14/2018 2:58:00 PM,200.3,200.45,200.05,200.1,47036
9/14/2018 2:57:00 PM,200.3,200.5,200.3,200.3,30498
9/14/2018 2:56:00 PM,200.05,200.45,200.05,200.3,82063
9/14/2018 2:55:00 PM,199.95,200.25,199.9,200.25,29827
9/14/2018 2:54:00 PM,200,200.1,199.9,199.95,29569
9/14/2018 2:53:00 PM,199.95,200,199.95,200,35332
9/14/2018 2:52:00 PM,200,200.1,199.95,199.95,35524
9/14/2018 2:51:00 PM,200.25,200.4,199.95,200,87513
9/14/2018 2:50:00 PM,200.25,200.45,200.25,200.25,44918
9/14/2018 2:49:00 PM,200.3,200.35,200.15,200.2,20236
9/14/2018 2:48:00 PM,200.05,200.2,200.05,200.2,23418
9/14/2018 2:47:00 PM,200.05,200.35,200,200.05,46134
9/14/2018 2:46:00 PM,200.2,200.3,200,200.05,30403
9/14/2018 2:45:00 PM,200,200.3,200,200.15,28686
9/14/2018 2:44:00 PM,200.05,200.2,200,200,27720
9/14/2018 2:43:00 PM,200,200.05,199.95,200.05,32379
9/14/2018 2:42:00 PM,200,200.2,200,200,28506
9/14/2018 2:41:00 PM,199.95,200.1,199.95,200,22916
9/14/2018 2:40:00 PM,200.05,200.1,199.95,200,40833
9/14/2018 2:39:00 PM,200.2,200.35,200.05,200.05,36282
9/14/2018 2:38:00 PM,200.25,200.4,200.15,200.15,42516
9/14/2018 2:37:00 PM,200.2,200.35,200.15,200.25,24023
9/14/2018 2:36:00 PM,200.15,200.3,200.15,200.3,24363
9/14/2018 2:35:00 PM,200.2,200.35,200.05,200.15,27324
9/14/2018 2:34:00 PM,200,200.25,200,200.1,23328
9/14/2018 2:33:00 PM,200.05,200.3,199.95,200,30714
9/14/2018 2:32:00 PM,200,200.25,200,200.05,25774
9/14/2018 2:31:00 PM,200.1,200.2,200,200,27245
9/14/2018 2:30:00 PM,200.1,200.1,199.95,200.1,22603
9/14/2018 2:29:00 PM,199.95,200.05,199.95,200.05,6017
9/14/2018 2:28:00 PM,199.9,200,199.9,199.95,14678
9/14/2018 2:27:00 PM,200,200,199.9,199.9,14701
9/14/2018 2:26:00 PM,200.1,200.15,199.95,200,38091
9/14/2018 2:25:00 PM,200.1,200.15,200.1,200.1,4652
9/14/2018 2:24:00 PM,200.05,200.2,200,200.1,10075
9/14/2018 2:23:00 PM,200.15,200.25,200.1,200.1,20252
9/14/2018 2:22:00 PM,200.1,200.25,200.1,200.25,10960
9/14/2018 2:21:00 PM,200.1,200.15,200.1,200.1,12421
9/14/2018 2:20:00 PM,200.3,200.3,199.95,200.1,30611
9/14/2018 2:19:00 PM,200.3,200.3,200.25,200.25,8285
9/14/2018 2:18:00 PM,200,200.4,200,200.3,18150
9/14/2018 2:17:00 PM,200.15,200.15,200,200,18534
9/14/2018 2:16:00 PM,200.35,200.35,200.1,200.1,10190
9/14/2018 2:15:00 PM,200.15,200.35,200.15,200.25,28078
9/14/2018 2:14:00 PM,200.2,200.25,200.15,200.15,13697
9/14/2018 2:13:00 PM,200.2,200.25,200.15,200.2,9134
9/14/2018 2:12:00 PM,200.15,200.2,200.05,200.15,7965
9/14/2018 2:11:00 PM,200,200.2,200,200.15,13915
9/14/2018 2:10:00 PM,200,200.1,199.95,200,16757
9/14/2018 2:09:00 PM,200,200.15,199.95,200.05,11516
9/14/2018 2:08:00 PM,199.9,200,199.85,200,20230
9/14/2018 2:07:00 PM,200.1,200.25,199.9,199.9,19589
9/14/2018 2:06:00 PM,200.15,200.2,200.05,200.1,18344
9/14/2018 2:05:00 PM,200.15,200.15,199.7,200.05,142027
9/14/2018 2:04:00 PM,200.1,200.2,200.05,200.1,11599
9/14/2018 2:03:00 PM,200.1,200.1,200.05,200.05,5288
