Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
9/14/2018 3:29:00 PM,290.7,290.8,290.45,290.65,84700
9/14/2018 3:28:00 PM,290.7,290.8,290.6,290.7,48799
9/14/2018 3:27:00 PM,290.5,290.8,290.5,290.7,57990
9/14/2018 3:26:00 PM,290.55,290.7,290.55,290.55,48022
9/14/2018 3:25:00 PM,290.35,290.65,290.35,290.5,45798
9/14/2018 3:24:00 PM,290.5,290.65,290.25,290.6,97332
9/14/2018 3:23:00 PM,290.5,290.8,290.35,290.35,171298
9/14/2018 3:22:00 PM,290.65,290.9,290.5,290.5,80282
9/14/2018 3:21:00 PM,290.2,290.8,290.2,290.8,102283
9/14/2018 3:20:00 PM,290.5,290.6,290.1,290.35,86995
9/14/2018 3:19:00 PM,290.5,290.6,290.4,290.4,60215
9/14/2018 3:18:00 PM,290.6,290.7,290.4,290.4,72796
9/14/2018 3:17:00 PM,290.7,290.7,290.5,290.6,55419
9/14/2018 3:16:00 PM,290.5,290.8,290.45,290.7,96395
9/14/2018 3:15:00 PM,290.65,290.8,290.45,290.7,266818
9/14/2018 3:14:00 PM,290.55,290.8,290.55,290.65,55435
9/14/2018 3:13:00 PM,290.7,290.8,290.6,290.6,55721
9/14/2018 3:12:00 PM,290.9,290.95,290.55,290.75,75996
9/14/2018 3:11:00 PM,290.65,290.95,290.65,290.9,77472
9/14/2018 3:10:00 PM,290.7,290.85,290.6,290.85,110331
9/14/2018 3:09:00 PM,290.8,290.9,290.7,290.75,58796
9/14/2018 3:08:00 PM,290.85,290.95,290.8,290.85,30876
9/14/2018 3:07:00 PM,290.65,290.9,290.65,290.85,75292
9/14/2018 3:06:00 PM,290.7,290.75,290.6,290.7,35808
9/14/2018 3:05:00 PM,290.7,290.75,290.7,290.7,29604
9/14/2018 3:04:00 PM,290.8,290.85,290.7,290.7,30862
9/14/2018 3:03:00 PM,290.95,290.95,290.85,290.85,40174
9/14/2018 3:02:00 PM,290.8,291,290.6,290.9,79399
9/14/2018 3:01:00 PM,290.7,291,290.7,290.85,77347
9/14/2018 3:00:00 PM,290.3,290.65,290.3,290.55,72153
9/14/2018 2:59:00 PM,290.25,290.4,290.15,290.35,53739
9/14/2018 2:58:00 PM,290.45,290.6,290.25,290.25,82570
9/14/2018 2:57:00 PM,290.5,290.5,290.45,290.45,10661
9/14/2018 2:56:00 PM,290.45,290.65,290.4,290.4,21060
9/14/2018 2:55:00 PM,290.5,290.7,290.4,290.45,19755
9/14/2018 2:54:00 PM,290.75,290.8,290.5,290.6,26258
9/14/2018 2:53:00 PM,290.75,290.8,290.6,290.7,46927
9/14/2018 2:52:00 PM,290.55,290.7,290.4,290.7,25829
9/14/2018 2:51:00 PM,290.45,290.6,290.45,290.55,19282
9/14/2018 2:50:00 PM,290.6,290.65,290.35,290.5,38894
9/14/2018 2:49:00 PM,290.6,290.7,290.5,290.6,18377
9/14/2018 2:48:00 PM,290.55,290.7,290.45,290.6,13670
9/14/2018 2:47:00 PM,290.6,290.75,290.4,290.55,51389
9/14/2018 2:46:00 PM,290.4,290.65,290.4,290.65,36543
9/14/2018 2:45:00 PM,290.25,290.5,290.25,290.45,79325
9/14/2018 2:44:00 PM,290.2,290.3,290.2,290.25,11697
9/14/2018 2:43:00 PM,290.3,290.35,290.25,290.3,33750
9/14/2018 2:42:00 PM,290.2,290.35,290.2,290.3,12719
9/14/2018 2:41:00 PM,290.35,290.45,290.15,290.25,31259
9/14/2018 2:40:00 PM,290.3,290.4,290.15,290.35,13032
9/14/2018 2:39:00 PM,290.2,290.45,290.2,290.35,13962
9/14/2018 2:38:00 PM,290.3,290.4,290.15,290.3,16746
9/14/2018 2:37:00 PM,290.35,290.45,290.1,290.3,17836
9/14/2018 2:36:00 PM,290.4,290.5,290.1,290.4,26618
9/14/2018 2:35:00 PM,290.25,290.5,290.2,290.45,18486
9/14/2018 2:34:00 PM,290.35,290.4,290.05,290.3,41293
9/14/2018 2:33:00 PM,290.5,290.6,290.3,290.35,18027
9/14/2018 2:32:00 PM,290.55,290.6,290.45,290.5,18075
9/14/2018 2:31:00 PM,290.45,290.6,290.4,290.6,15306
9/14/2018 2:30:00 PM,290.4,290.5,290.35,290.5,24791
9/14/2018 2:29:00 PM,290.35,290.6,290.3,290.45,23602
9/14/2018 2:28:00 PM,290.55,290.6,290.3,290.35,17354
9/14/2018 2:27:00 PM,290.75,290.75,290.4,290.6,15995
9/14/2018 2:26:00 PM,290.5,290.75,290.5,290.65,50595
9/14/2018 2:25:00 PM,290.05,290.55,290.05,290.5,57491
9/14/2018 2:24:00 PM,290.1,290.1,290,290.1,21200
9/14/2018 2:23:00 PM,290.05,290.15,289.9,290,23214
9/14/2018 2:22:00 PM,290.1,290.2,290.05,290.15,15108
9/14/2018 2:21:00 PM,290.2,290.2,290.05,290.1,17314
9/14/2018 2:20:00 PM,290.1,290.2,290,290.2,15601
9/14/2018 2:19:00 PM,290.2,290.3,290.05,290.05,13203
9/14/2018 2:18:00 PM,290.4,290.4,290,290.2,39946
9/14/2018 2:17:00 PM,290.55,290.6,290.2,290.35,32741
9/14/2018 2:16:00 PM,290.4,290.5,290.3,290.35,34861
9/14/2018 2:15:00 PM,290.4,290.4,290.2,290.3,15744
9/14/2018 2:14:00 PM,290.25,290.35,290.15,290.35,25964
9/14/2018 2:13:00 PM,290.25,290.3,290.15,290.25,13692
9/14/2018 2:12:00 PM,290.35,290.4,290.1,290.15,22590
9/14/2018 2:11:00 PM,290.3,290.5,290.2,290.35,28960
9/14/2018 2:10:00 PM,290.15,290.3,290,290.3,63095
9/14/2018 2:09:00 PM,290,290.15,289.95,290.15,48143
9/14/2018 2:08:00 PM,290.1,290.1,289.9,289.95,63438
9/14/2018 2:07:00 PM,289.9,290.1,289.7,290,138627
9/14/2018 2:06:00 PM,289.85,290,289.7,289.95,56159
9/14/2018 2:05:00 PM,290.15,290.25,289.1,289.65,278898
9/14/2018 2:04:00 PM,290.45,290.55,290.1,290.2,62879
9/14/2018 2:03:00 PM,290.5,290.6,290.3,290.45,21180
9/14/2018 2:02:00 PM,290.75,290.8,290.3,290.5,76571
9/14/2018 2:01:00 PM,290.7,290.75,290.55,290.75,28113
9/14/2018 2:00:00 PM,290.7,290.85,290.5,290.6,33829
9/14/2018 1:59:00 PM,290.95,290.95,290.6,290.8,38859
9/14/2018 1:58:00 PM,291,291.15,290.9,290.95,44524
9/14/2018 1:57:00 PM,291.15,291.2,291,291.1,15394
9/14/2018 1:56:00 PM,290.9,291.2,290.85,291.15,31093
9/14/2018 1:55:00 PM,290.9,291,290.85,290.9,10121
9/14/2018 1:54:00 PM,291.05,291.1,290.9,290.9,9444
9/14/2018 1:53:00 PM,291,291.05,290.75,290.95,16471
9/14/2018 1:52:00 PM,291.3,291.35,291,291,34708
9/14/2018 1:51:00 PM,291.1,291.3,291.1,291.3,18878
9/14/2018 1:50:00 PM,291.2,291.3,291.05,291.1,22890
9/14/2018 1:49:00 PM,290.95,291.35,290.95,291.1,45143
9/14/2018 1:48:00 PM,290.9,291.15,290.9,290.95,43857
9/14/2018 1:47:00 PM,290.75,291,290.7,291,28122
9/14/2018 1:46:00 PM,290.75,290.75,290.55,290.75,21587
9/14/2018 1:45:00 PM,290.85,290.85,290.65,290.65,18220
9/14/2018 1:44:00 PM,290.8,290.85,290.75,290.85,10662
9/14/2018 1:43:00 PM,290.6,290.8,290.55,290.7,18050
9/14/2018 1:42:00 PM,290.65,290.75,290.55,290.7,11827
9/14/2018 1:41:00 PM,290.7,290.75,290.6,290.6,25553
9/14/2018 1:40:00 PM,290.65,290.8,290.55,290.7,16217
9/14/2018 1:39:00 PM,290.45,290.75,290.45,290.75,24036
9/14/2018 1:38:00 PM,290.7,290.75,290.35,290.45,35580
9/14/2018 1:37:00 PM,290.6,290.75,290.55,290.75,23906
9/14/2018 1:36:00 PM,290.65,290.75,290.45,290.45,26751
9/14/2018 1:35:00 PM,290.7,290.85,290.55,290.65,23526
9/14/2018 1:34:00 PM,290.9,291,290.6,290.8,27203
9/14/2018 1:33:00 PM,290.7,290.9,290.7,290.9,20317
9/14/2018 1:32:00 PM,290.45,290.8,290.45,290.75,43740
9/14/2018 1:31:00 PM,290.45,290.6,290.3,290.45,46626
9/14/2018 1:30:00 PM,290.45,290.5,290.25,290.35,36354
9/14/2018 1:29:00 PM,290.6,290.75,290.2,290.35,66807
9/14/2018 1:28:00 PM,290.7,290.7,290.5,290.65,20779
9/14/2018 1:27:00 PM,290.6,290.75,290.45,290.65,47296
9/14/2018 1:26:00 PM,291.05,291.1,290.35,290.45,86464
9/14/2018 1:25:00 PM,291,291.1,290.95,291.05,16532
9/14/2018 1:24:00 PM,290.95,291,290.85,291,35554
9/14/2018 1:23:00 PM,291.2,291.25,290.85,291,42822
9/14/2018 1:22:00 PM,291,291.2,290.95,291.1,52675
9/14/2018 1:21:00 PM,291,291.05,290.85,290.95,27308
9/14/2018 1:20:00 PM,291.05,291.2,290.95,291,21558
9/14/2018 1:19:00 PM,290.85,291.2,290.85,291.05,26823
9/14/2018 1:18:00 PM,291.2,291.3,290.8,290.95,45417
