Date,SUNPHARMA-EQ O,SUNPHARMA-EQ H,SUNPHARMA-EQ L,SUNPHARMA-EQ C,SUNPHARMA-EQ V
9/14/2018 3:29:00 PM,664.85,664.85,663.5,663.55,19956
9/14/2018 3:28:00 PM,665.2,665.5,664.7,664.85,26913
9/14/2018 3:27:00 PM,664.85,665.5,664.7,665.2,38280
9/14/2018 3:26:00 PM,664.65,665,664.65,665,32881
9/14/2018 3:25:00 PM,664.4,664.8,664.35,664.8,42083
9/14/2018 3:24:00 PM,664.6,664.95,664.25,664.4,32960
9/14/2018 3:23:00 PM,664.55,664.9,664.1,664.75,28258
9/14/2018 3:22:00 PM,664.95,665,664.55,664.7,39754
9/14/2018 3:21:00 PM,665.05,665.4,664.5,664.95,34276
9/14/2018 3:20:00 PM,664.7,665.45,664.7,664.7,34132
9/14/2018 3:19:00 PM,664.5,665.2,664.5,664.7,29265
9/14/2018 3:18:00 PM,665.4,665.5,664.6,664.75,31779
9/14/2018 3:17:00 PM,665.25,665.6,664.8,665.5,21362
9/14/2018 3:16:00 PM,665.3,665.65,664.6,665.5,56982
9/14/2018 3:15:00 PM,665.25,665.8,664.6,665.3,110270
9/14/2018 3:14:00 PM,665.55,665.9,665.05,665.05,33945
9/14/2018 3:13:00 PM,665.25,665.65,665,665.6,27129
9/14/2018 3:12:00 PM,664.45,665.3,664.4,665.25,37418
9/14/2018 3:11:00 PM,664.4,664.65,664,664.3,21734
9/14/2018 3:10:00 PM,664.7,664.7,664.05,664.4,30367
9/14/2018 3:09:00 PM,665.15,665.2,664.65,664.7,31797
9/14/2018 3:08:00 PM,665.65,665.7,665.1,665.15,15054
9/14/2018 3:07:00 PM,666.3,666.45,665.65,665.65,21621
9/14/2018 3:06:00 PM,665.5,666.15,665.45,666,22799
9/14/2018 3:05:00 PM,665.8,665.95,665.45,665.45,16101
9/14/2018 3:04:00 PM,666.25,666.45,665.75,665.8,21227
9/14/2018 3:03:00 PM,665.4,666.5,665.3,666.4,40905
9/14/2018 3:02:00 PM,665.45,665.75,665.05,665.35,27813
9/14/2018 3:01:00 PM,666,666.95,665.2,665.45,76727
9/14/2018 3:00:00 PM,664.35,666,664.35,666,112043
9/14/2018 2:59:00 PM,664.15,664.6,664.1,664.35,21891
