Date,TATAMOTORS-EQ O,TATAMOTORS-EQ H,TATAMOTORS-EQ L,TATAMOTORS-EQ C,TATAMOTORS-EQ V
9/14/2018 3:29:00 PM,266.15,266.2,266,266.2,45890
9/14/2018 3:28:00 PM,266.25,266.25,266,266.15,34973
9/14/2018 3:27:00 PM,266.15,266.4,266.1,266.2,29966
9/14/2018 3:26:00 PM,266.3,266.35,266.1,266.15,36472
9/14/2018 3:25:00 PM,266.45,266.55,266.35,266.35,36583
9/14/2018 3:24:00 PM,266.1,266.55,266.1,266.55,60069
9/14/2018 3:23:00 PM,266.2,266.25,266,266.1,81057
9/14/2018 3:22:00 PM,266.15,266.2,266.05,266.1,65103
9/14/2018 3:21:00 PM,266.2,266.2,266.1,266.2,30644
9/14/2018 3:20:00 PM,266.25,266.35,266.15,266.2,44730
9/14/2018 3:19:00 PM,266.1,266.35,266.1,266.35,39969
9/14/2018 3:18:00 PM,266.2,266.3,266.05,266.15,45514
9/14/2018 3:17:00 PM,266.2,266.3,266.15,266.25,22506
9/14/2018 3:16:00 PM,266.4,266.5,266.2,266.3,62338
9/14/2018 3:15:00 PM,266.6,266.6,266.2,266.4,77738
9/14/2018 3:14:00 PM,266.2,266.6,266.2,266.6,45406
9/14/2018 3:13:00 PM,266.6,266.65,266.15,266.2,58147
9/14/2018 3:12:00 PM,267.15,267.2,266.55,266.65,107487
9/14/2018 3:11:00 PM,267.15,267.5,267.15,267.15,38859
9/14/2018 3:10:00 PM,267.45,267.55,267.1,267.15,42750
9/14/2018 3:09:00 PM,267.35,267.5,267.35,267.45,32075
9/14/2018 3:08:00 PM,267.4,267.5,267.35,267.35,20596
9/14/2018 3:07:00 PM,267.4,267.5,267.35,267.5,17324
9/14/2018 3:06:00 PM,267.35,267.45,267.35,267.4,23895
9/14/2018 3:05:00 PM,267.35,267.4,267.35,267.35,17712
9/14/2018 3:04:00 PM,267.45,267.45,267.3,267.45,23029
