Date,TATASTEEL-EQ O,TATASTEEL-EQ H,TATASTEEL-EQ L,TATASTEEL-EQ C,TATASTEEL-EQ V
9/14/2018 3:29:00 PM,613,613.85,612.75,613.85,39064
9/14/2018 3:28:00 PM,613,613.25,612.55,613,158474
9/14/2018 3:27:00 PM,615.2,615.2,612.65,612.65,199982
9/14/2018 3:26:00 PM,614.85,615.35,614.85,615.2,23169
9/14/2018 3:25:00 PM,614.95,615.1,614.85,614.85,13461
9/14/2018 3:24:00 PM,614.9,615.8,614.55,614.85,39964
9/14/2018 3:23:00 PM,615.05,615.5,614.8,615,63449
9/14/2018 3:22:00 PM,615.45,615.5,615.05,615.05,16245
9/14/2018 3:21:00 PM,615.4,615.75,615.1,615.45,21305
9/14/2018 3:20:00 PM,615.75,615.95,615.35,615.6,26522
9/14/2018 3:19:00 PM,615.45,615.85,615.25,615.85,25240
9/14/2018 3:18:00 PM,615.8,616,615.55,615.65,34972
9/14/2018 3:17:00 PM,615.85,616.1,615.8,615.8,21080
9/14/2018 3:16:00 PM,616.05,616.3,615.75,615.85,46197
9/14/2018 3:15:00 PM,616.8,616.95,616.05,616.1,61439
9/14/2018 3:14:00 PM,616.7,616.9,616.55,616.9,13078
9/14/2018 3:13:00 PM,616.65,616.85,616.5,616.7,11288
9/14/2018 3:12:00 PM,616.7,617,616.5,616.65,20456
9/14/2018 3:11:00 PM,616.6,617,616.6,616.7,16433
9/14/2018 3:10:00 PM,616.95,617,616.6,616.6,25178
9/14/2018 3:09:00 PM,617.1,617.3,616.8,616.95,19199
9/14/2018 3:08:00 PM,617.2,617.45,616.75,617.15,17324
9/14/2018 3:07:00 PM,617.3,617.5,616.65,617.25,19020
9/14/2018 3:06:00 PM,616.8,617.4,616.7,617.3,24456
9/14/2018 3:05:00 PM,616.3,616.8,616.3,616.8,10806
9/14/2018 3:04:00 PM,616.5,616.5,616.25,616.25,13307
9/14/2018 3:03:00 PM,616.3,616.55,616.2,616.5,19248
9/14/2018 3:02:00 PM,616.45,616.55,616.15,616.5,12642
9/14/2018 3:01:00 PM,616.3,616.45,616.05,616.45,14368
9/14/2018 3:00:00 PM,615.8,616.4,615.65,616.3,6070
9/14/2018 2:59:00 PM,616.2,616.2,615.65,615.85,12853
9/14/2018 2:58:00 PM,616.6,616.6,616.1,616.2,15947
9/14/2018 2:57:00 PM,616.85,616.95,616.2,616.5,17637
9/14/2018 2:56:00 PM,617,617,616.75,616.75,6518
9/14/2018 2:55:00 PM,617.5,617.7,616.85,616.95,11288
9/14/2018 2:54:00 PM,616.85,617.7,616.8,617.4,19665
9/14/2018 2:53:00 PM,616.85,616.85,616.8,616.8,3376
9/14/2018 2:52:00 PM,616.7,616.85,616.65,616.85,10923
9/14/2018 2:51:00 PM,616.6,616.8,616.55,616.7,6837
9/14/2018 2:50:00 PM,616.8,616.8,616.5,616.6,5111
9/14/2018 2:49:00 PM,616.9,616.95,616.7,616.8,7150
9/14/2018 2:48:00 PM,616.9,616.95,616.65,616.9,5463
9/14/2018 2:47:00 PM,616.8,617,616.55,616.9,5471
9/14/2018 2:46:00 PM,616.65,616.95,616.45,616.6,5566
9/14/2018 2:45:00 PM,616.4,616.65,616.3,616.45,15781
9/14/2018 2:44:00 PM,616.35,616.45,616.15,616.35,5753
9/14/2018 2:43:00 PM,616.35,616.5,616.35,616.35,2837
9/14/2018 2:42:00 PM,616.4,616.5,616.35,616.35,3384
9/14/2018 2:41:00 PM,616.7,616.8,616.4,616.4,10521
9/14/2018 2:40:00 PM,616.85,616.85,616.4,616.8,14362
9/14/2018 2:39:00 PM,617,617,616.75,616.85,7847
9/14/2018 2:38:00 PM,616,617.25,616,616.75,60739
9/14/2018 2:37:00 PM,615.55,616.25,615.35,616.2,24957
9/14/2018 2:36:00 PM,615,615.75,615,615.65,15504
9/14/2018 2:35:00 PM,614.3,615.25,613.9,615,67386
9/14/2018 2:34:00 PM,615.45,615.45,614.3,614.3,35655
9/14/2018 2:33:00 PM,616,616,615.4,615.5,22925
9/14/2018 2:32:00 PM,615.8,616,615.8,615.95,5487
9/14/2018 2:31:00 PM,615.8,616.25,615.6,616,14382
9/14/2018 2:30:00 PM,615.75,615.9,615.6,615.75,17648
9/14/2018 2:29:00 PM,615.45,616.2,615.45,615.75,7505
9/14/2018 2:28:00 PM,615.35,615.8,615,615.45,12821
9/14/2018 2:27:00 PM,616.2,616.3,614.95,615.35,88313
9/14/2018 2:26:00 PM,616.4,616.4,616.1,616.2,10278
9/14/2018 2:25:00 PM,616.55,616.55,616.4,616.5,7205
9/14/2018 2:24:00 PM,617,617,616.35,616.5,8581
9/14/2018 2:23:00 PM,616.75,617.2,616.75,617,5752
9/14/2018 2:22:00 PM,616.5,616.8,616.5,616.8,10728
9/14/2018 2:21:00 PM,616.75,616.85,616.5,616.5,4405
9/14/2018 2:20:00 PM,616.7,616.9,616.65,616.75,3674
9/14/2018 2:19:00 PM,616.85,617,616.65,616.7,4097
9/14/2018 2:18:00 PM,617.3,617.3,616.85,616.85,5663
9/14/2018 2:17:00 PM,617,617.4,617,617.35,10788
9/14/2018 2:16:00 PM,616.6,617,616.55,617,8408
9/14/2018 2:15:00 PM,616.6,616.95,616.45,616.6,12828
9/14/2018 2:14:00 PM,616.65,616.65,616.5,616.6,4609
9/14/2018 2:13:00 PM,616.85,616.95,616.6,616.7,5765
9/14/2018 2:12:00 PM,616.85,617,616.6,616.7,4762
9/14/2018 2:11:00 PM,616.3,617.25,616.3,616.85,12747
9/14/2018 2:10:00 PM,616,616.35,615.8,616.2,37740
9/14/2018 2:09:00 PM,616,616.25,615.9,615.95,24907
9/14/2018 2:08:00 PM,617.15,617.3,615.6,616,63890
9/14/2018 2:07:00 PM,617.2,617.7,617.1,617.15,12386
9/14/2018 2:06:00 PM,617.2,617.45,617,617.2,8923
9/14/2018 2:05:00 PM,616.05,617.2,615.85,617.2,51933
9/14/2018 2:04:00 PM,617.3,617.35,616.05,616.05,25082
9/14/2018 2:03:00 PM,617.45,617.5,617.2,617.3,10587
9/14/2018 2:02:00 PM,617.7,618,617.4,617.4,14083
9/14/2018 2:01:00 PM,617.6,617.7,617.3,617.45,7360
9/14/2018 2:00:00 PM,617.7,617.8,617.2,617.45,26496
9/14/2018 1:59:00 PM,618.1,618.3,617.7,617.7,5935
9/14/2018 1:58:00 PM,618.2,618.5,618.1,618.1,6288
9/14/2018 1:57:00 PM,618.35,618.4,618.15,618.2,3846
9/14/2018 1:56:00 PM,618,618.6,617.85,618.35,10408
9/14/2018 1:55:00 PM,617.7,618.05,617.7,618,10933
9/14/2018 1:54:00 PM,618,618,617.2,617.65,33524
9/14/2018 1:53:00 PM,618.25,618.5,617.7,617.95,16736
9/14/2018 1:52:00 PM,618.65,618.85,618.2,618.25,17473
9/14/2018 1:51:00 PM,618.85,618.85,618.4,618.6,9404
9/14/2018 1:50:00 PM,619.3,619.45,618.7,618.85,16714
9/14/2018 1:49:00 PM,619.35,619.65,619.25,619.25,15303
9/14/2018 1:48:00 PM,619.3,619.4,619.05,619.35,6405
9/14/2018 1:47:00 PM,619.2,619.35,619.15,619.3,8531
9/14/2018 1:46:00 PM,619.35,619.4,619.1,619.2,5266
9/14/2018 1:45:00 PM,619.25,619.3,618.85,619.3,10627
9/14/2018 1:44:00 PM,619.45,619.45,618.8,619.15,4381
9/14/2018 1:43:00 PM,618.45,619.45,618.4,619.35,10915
9/14/2018 1:42:00 PM,618.55,618.7,618.3,618.45,2495
9/14/2018 1:41:00 PM,618.6,618.65,618.2,618.55,7300
9/14/2018 1:40:00 PM,618.85,619,618.5,618.6,8903
9/14/2018 1:39:00 PM,619.8,619.95,618.85,618.85,14886
9/14/2018 1:38:00 PM,619.75,620.45,619.45,619.5,37783
9/14/2018 1:37:00 PM,619.75,619.85,619.65,619.75,11918
9/14/2018 1:36:00 PM,618.65,619.8,618.65,619.5,17153
9/14/2018 1:35:00 PM,618.3,618.6,618.2,618.55,4608
9/14/2018 1:34:00 PM,618.35,618.6,618.15,618.2,3643
9/14/2018 1:33:00 PM,617.75,618.45,617.7,618.35,10870
9/14/2018 1:32:00 PM,618.25,618.3,617.65,617.65,8610
9/14/2018 1:31:00 PM,618,618.2,617.55,618.2,16503
9/14/2018 1:30:00 PM,618.1,618.3,617.85,618,3084
9/14/2018 1:29:00 PM,617.85,618.25,617.85,618.25,5552
9/14/2018 1:28:00 PM,617.7,618,617.7,618,4502
9/14/2018 1:27:00 PM,617.95,618,617.7,617.7,8950
9/14/2018 1:26:00 PM,618.15,618.45,617.8,618,3614
9/14/2018 1:25:00 PM,618.35,618.45,618,618,4822
9/14/2018 1:24:00 PM,617.8,618.4,617.75,618.35,15255
9/14/2018 1:23:00 PM,618,618.25,617.7,617.85,8617
9/14/2018 1:22:00 PM,617.85,618.25,617.8,617.9,10027
9/14/2018 1:21:00 PM,618.3,618.3,617.7,617.9,25049
