Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
9/14/2018 3:29:00 PM,2064.1,2070,2063.5,2066,33545
9/14/2018 3:28:00 PM,2065.35,2066,2064.1,2064.1,9957
9/14/2018 3:27:00 PM,2062.3,2065,2062.3,2065,11798
9/14/2018 3:26:00 PM,2062.35,2062.4,2061.65,2062.1,10601
9/14/2018 3:25:00 PM,2061.6,2062.3,2061.6,2062.3,14759
9/14/2018 3:24:00 PM,2061,2061.6,2060.95,2061.6,8846
9/14/2018 3:23:00 PM,2060.25,2061,2060.25,2061,9475
9/14/2018 3:22:00 PM,2058.55,2060.25,2058.4,2060.25,26873
9/14/2018 3:21:00 PM,2061.05,2061.05,2058.5,2058.55,15886
9/14/2018 3:20:00 PM,2063.35,2063.8,2061,2061,10810
9/14/2018 3:19:00 PM,2061.95,2063.95,2061.8,2063.95,20369
9/14/2018 3:18:00 PM,2062.95,2062.95,2061.65,2061.9,14788
9/14/2018 3:17:00 PM,2066,2066.15,2062.65,2062.65,18257
9/14/2018 3:16:00 PM,2063.7,2065.55,2063.45,2065.55,23357
9/14/2018 3:15:00 PM,2066.9,2066.9,2063.5,2063.7,26989
9/14/2018 3:14:00 PM,2065.8,2067.7,2065.05,2066.95,15676
9/14/2018 3:13:00 PM,2068.8,2068.8,2065.8,2065.8,14539
9/14/2018 3:12:00 PM,2065.45,2069.7,2065.45,2068.45,18293
9/14/2018 3:11:00 PM,2066.8,2066.8,2065.5,2065.7,14010
9/14/2018 3:10:00 PM,2070,2070,2066.7,2066.75,15656
9/14/2018 3:09:00 PM,2068.95,2071,2068.8,2069.5,41501
9/14/2018 3:08:00 PM,2067.15,2070.25,2065.55,2068.95,43728
9/14/2018 3:07:00 PM,2066.9,2071,2066.1,2066.55,107416
9/14/2018 3:06:00 PM,2068.1,2068.5,2066.1,2066.9,18520
9/14/2018 3:05:00 PM,2066.2,2068.55,2066,2068.1,24460
9/14/2018 3:04:00 PM,2066,2067,2065,2065.9,32929
9/14/2018 3:03:00 PM,2063.7,2067,2063.7,2066.3,43855
9/14/2018 3:02:00 PM,2060.9,2063.95,2060.85,2063.7,32550
9/14/2018 3:01:00 PM,2059.5,2060.9,2058.85,2060.9,21468
9/14/2018 3:00:00 PM,2056.1,2059.8,2055.9,2059.1,19096
9/14/2018 2:59:00 PM,2058.25,2058.25,2056,2056,8539
9/14/2018 2:58:00 PM,2057.2,2058.35,2057.2,2058.25,6315
9/14/2018 2:57:00 PM,2056.95,2057.6,2056.95,2057.2,8588
9/14/2018 2:56:00 PM,2055.2,2057,2055.15,2056.95,7804
9/14/2018 2:55:00 PM,2057.3,2057.3,2055.15,2055.2,4387
9/14/2018 2:54:00 PM,2055.05,2059.2,2055.05,2057.25,11022
9/14/2018 2:53:00 PM,2056,2056.9,2055.35,2055.35,7358
9/14/2018 2:52:00 PM,2054.2,2056,2054.2,2056,8622
9/14/2018 2:51:00 PM,2052.5,2054.5,2051.65,2054.1,9715
9/14/2018 2:50:00 PM,2055.15,2055.25,2052.5,2052.5,2376
9/14/2018 2:49:00 PM,2055,2055.6,2053.95,2055.15,8450
9/14/2018 2:48:00 PM,2052,2055.15,2051.2,2055.15,12464
9/14/2018 2:47:00 PM,2056.9,2056.9,2052,2052,11850
9/14/2018 2:46:00 PM,2058,2058.7,2056.3,2056.3,12582
9/14/2018 2:45:00 PM,2055.1,2058.9,2055.1,2058.1,11933
9/14/2018 2:44:00 PM,2053.6,2057.3,2053.6,2054.5,13274
9/14/2018 2:43:00 PM,2054.25,2054.5,2053.5,2053.6,7912
9/14/2018 2:42:00 PM,2059.25,2062.65,2054.1,2054.25,27793
9/14/2018 2:41:00 PM,2045,2059.05,2045,2059.05,40222
9/14/2018 2:40:00 PM,2041.05,2045.05,2040.8,2044.35,30634
9/14/2018 2:39:00 PM,2041.9,2041.9,2041.05,2041.05,4410
9/14/2018 2:38:00 PM,2041.3,2042.9,2041.3,2041.9,9560
9/14/2018 2:37:00 PM,2041.15,2041.4,2041,2041.3,7935
9/14/2018 2:36:00 PM,2040.1,2041.45,2040.05,2041.25,9263
