Date,ULTRACEMCO-EQ O,ULTRACEMCO-EQ H,ULTRACEMCO-EQ L,ULTRACEMCO-EQ C,ULTRACEMCO-EQ V
9/14/2018 3:29:00 PM,4184.1,4188.9,4180,4180,530
9/14/2018 3:28:00 PM,4191.8,4194.6,4184.1,4184.1,465
9/14/2018 3:27:00 PM,4195,4195.95,4190.55,4194.9,5026
9/14/2018 3:26:00 PM,4183.9,4194.7,4183.9,4192.1,1411
9/14/2018 3:25:00 PM,4188,4189,4183.35,4186.25,761
9/14/2018 3:24:00 PM,4190,4190,4185.65,4188,1223
9/14/2018 3:23:00 PM,4187.15,4190,4185,4190,1600
9/14/2018 3:22:00 PM,4182,4188.7,4182,4187.15,712
9/14/2018 3:21:00 PM,4180.1,4182.8,4178.7,4181.85,1038
9/14/2018 3:20:00 PM,4179.25,4183,4178.6,4180.1,1738
9/14/2018 3:19:00 PM,4180,4181.6,4178.25,4179.25,1341
9/14/2018 3:18:00 PM,4181.9,4183.85,4180,4180,1070
9/14/2018 3:17:00 PM,4189.4,4190.4,4180.35,4181.9,1746
9/14/2018 3:16:00 PM,4193.9,4193.9,4189.3,4189.4,2441
9/14/2018 3:15:00 PM,4192,4194.8,4191.15,4192.95,1068
9/14/2018 3:14:00 PM,4189.8,4194.8,4189.8,4192.05,2688
9/14/2018 3:13:00 PM,4190.15,4194.15,4188,4191.15,1381
9/14/2018 3:12:00 PM,4191.1,4192.95,4188.05,4192,1377
9/14/2018 3:11:00 PM,4188.95,4193.25,4187.3,4191.8,694
9/14/2018 3:10:00 PM,4199,4199,4188.7,4188.95,3069
9/14/2018 3:09:00 PM,4193.1,4198.95,4187.25,4198,2856
9/14/2018 3:08:00 PM,4192,4193.2,4189.65,4193.1,1507
9/14/2018 3:07:00 PM,4188.7,4193.65,4188.7,4193.65,3451
9/14/2018 3:06:00 PM,4186.75,4189.9,4186.75,4188.9,1678
9/14/2018 3:05:00 PM,4186.35,4188,4185,4186.75,933
9/14/2018 3:04:00 PM,4189,4189,4185,4186,1546
9/14/2018 3:03:00 PM,4186.65,4188.05,4186.15,4188.05,614
9/14/2018 3:02:00 PM,4187.3,4188,4185,4187.85,2373
9/14/2018 3:01:00 PM,4188,4188.05,4185,4186,2643
9/14/2018 3:00:00 PM,4179.6,4189.55,4176.45,4187.45,2358
9/14/2018 2:59:00 PM,4185,4187.35,4178.8,4178.8,2960
