Date,UPL-EQ O,UPL-EQ H,UPL-EQ L,UPL-EQ C,UPL-EQ V
9/14/2018 3:29:00 PM,737.15,738,737.15,737.95,9107
9/14/2018 3:28:00 PM,737.75,738,737,737.15,14581
9/14/2018 3:27:00 PM,738.45,738.5,737.05,737.8,13753
9/14/2018 3:26:00 PM,738,738.8,738,738.45,11793
9/14/2018 3:25:00 PM,737.9,738.4,737.8,738,9425
9/14/2018 3:24:00 PM,737,738.75,737,737.85,29504
9/14/2018 3:23:00 PM,737.2,738,736.75,737.9,29599
9/14/2018 3:22:00 PM,737.8,737.8,737,737.2,10750
9/14/2018 3:21:00 PM,737.55,738,737.05,737.8,12949
9/14/2018 3:20:00 PM,737.1,738.1,737.1,737.7,25913
9/14/2018 3:19:00 PM,737,737.6,736.65,737.2,17914
9/14/2018 3:18:00 PM,737.45,737.45,736.25,737,25432
9/14/2018 3:17:00 PM,738.25,738.8,737,737.45,33093
9/14/2018 3:16:00 PM,735.9,738.65,735.6,738.65,82454
9/14/2018 3:15:00 PM,735.9,736.95,735.5,735.9,39037
9/14/2018 3:14:00 PM,736,736.15,735.55,735.95,12703
9/14/2018 3:13:00 PM,736,736,735.5,736,25041
9/14/2018 3:12:00 PM,735.6,736,735.6,735.85,26489
9/14/2018 3:11:00 PM,735.95,736,735.1,735.95,20131
9/14/2018 3:10:00 PM,735.6,736.25,735.6,736,48111
9/14/2018 3:09:00 PM,736.2,736.35,735.5,735.55,11811
9/14/2018 3:08:00 PM,736.25,736.4,735.3,736.2,28822
9/14/2018 3:07:00 PM,735.85,736.5,735.85,736.3,22931
9/14/2018 3:06:00 PM,735.9,736,735.7,735.9,9138
9/14/2018 3:05:00 PM,735.45,735.85,735.45,735.85,7001
9/14/2018 3:04:00 PM,735.2,735.7,735.05,735.45,11120
9/14/2018 3:03:00 PM,735.6,735.95,735.35,735.7,4754
9/14/2018 3:02:00 PM,735.5,735.75,735,735.6,4555
9/14/2018 3:01:00 PM,735.2,735.8,735.2,735.55,14070
9/14/2018 3:00:00 PM,734.7,735.2,734.7,735.2,10767
9/14/2018 2:59:00 PM,735,735,734.45,734.9,7175
9/14/2018 2:58:00 PM,735.6,735.85,735,735,12939
9/14/2018 2:57:00 PM,735.6,735.8,735.6,735.6,2001
9/14/2018 2:56:00 PM,735.8,735.8,735.55,735.6,2560
9/14/2018 2:55:00 PM,736,736,735.5,735.8,2265
9/14/2018 2:54:00 PM,735.95,736,735.6,735.85,3365
9/14/2018 2:53:00 PM,735.65,735.95,735.55,735.95,4612
9/14/2018 2:52:00 PM,735.7,735.85,735.6,735.65,4142
9/14/2018 2:51:00 PM,735.7,736.2,735.65,735.7,3603
9/14/2018 2:50:00 PM,735.6,735.9,735.55,735.9,1212
9/14/2018 2:49:00 PM,735.15,735.8,735.15,735.65,1863
9/14/2018 2:48:00 PM,735.55,735.6,735.15,735.15,7725
9/14/2018 2:47:00 PM,736,736.3,735.25,735.5,12710
9/14/2018 2:46:00 PM,736.2,736.3,735.8,736,7860
9/14/2018 2:45:00 PM,735.7,736.4,735.7,736.2,13982
9/14/2018 2:44:00 PM,735.85,735.85,735.7,735.7,3951
9/14/2018 2:43:00 PM,735.85,736,735.75,735.85,5242
9/14/2018 2:42:00 PM,735.85,736,735.75,735.85,3943
9/14/2018 2:41:00 PM,735.55,736.55,735.5,736,19097
9/14/2018 2:40:00 PM,734.85,735.7,734.85,735.45,9200
9/14/2018 2:39:00 PM,734.75,735,734.65,734.85,2164
9/14/2018 2:38:00 PM,734.7,734.9,734.65,734.9,720
9/14/2018 2:37:00 PM,734.25,734.85,734.25,734.7,3152
9/14/2018 2:36:00 PM,734.6,734.9,734.45,734.6,3349
9/14/2018 2:35:00 PM,734.85,735,734.2,734.9,12534
9/14/2018 2:34:00 PM,734.55,735,734.55,734.85,4592
9/14/2018 2:33:00 PM,734.8,734.85,734.55,734.55,3387
9/14/2018 2:32:00 PM,734.55,734.9,734.55,734.8,2422
9/14/2018 2:31:00 PM,734.1,734.9,734.1,734.55,3654
9/14/2018 2:30:00 PM,733.55,734.35,733.35,734.15,5376
9/14/2018 2:29:00 PM,734.1,734.5,733.45,733.7,10045
9/14/2018 2:28:00 PM,734.7,734.75,734.05,734.1,5089
9/14/2018 2:27:00 PM,734.7,734.9,734.65,734.65,6210
9/14/2018 2:26:00 PM,734.7,735,734.7,734.75,15764
9/14/2018 2:25:00 PM,734.05,734.8,734.05,734.65,2188
9/14/2018 2:24:00 PM,734,734.25,734,734.05,2046
9/14/2018 2:23:00 PM,734,734.3,733.8,734.05,2129
9/14/2018 2:22:00 PM,734.3,734.35,733.75,734,7009
9/14/2018 2:21:00 PM,734.35,734.55,734.2,734.3,4337
9/14/2018 2:20:00 PM,734.25,734.5,734.25,734.4,1367
9/14/2018 2:19:00 PM,734.55,734.55,734.25,734.25,2594
9/14/2018 2:18:00 PM,734.75,734.95,734.25,734.55,3147
9/14/2018 2:17:00 PM,734.55,735.25,734.55,734.75,10655
9/14/2018 2:16:00 PM,734.5,734.8,734.05,734.8,3346
