Date,USDINR18NOVFUT O,USDINR18NOVFUT H,USDINR18NOVFUT L,USDINR18NOVFUT C,USDINR18NOVFUT V
9/14/2018 4:59:00 PM,72.535,72.5375,72.525,72.5325,90
9/14/2018 4:58:00 PM,72.535,72.535,72.535,72.535,0
9/14/2018 4:57:00 PM,72.54,72.5475,72.535,72.535,17
9/14/2018 4:56:00 PM,72.5425,72.5425,72.54,72.54,75
9/14/2018 4:55:00 PM,72.535,72.5425,72.535,72.5425,2
9/14/2018 4:54:00 PM,72.535,72.535,72.535,72.535,2
9/14/2018 4:53:00 PM,72.55,72.55,72.535,72.535,81
9/14/2018 4:52:00 PM,72.5425,72.55,72.5425,72.55,2
9/14/2018 4:51:00 PM,72.55,72.55,72.5425,72.5425,8
9/14/2018 4:50:00 PM,72.56,72.57,72.55,72.55,54
9/14/2018 4:49:00 PM,72.55,72.56,72.55,72.56,31
9/14/2018 4:48:00 PM,72.55,72.55,72.55,72.55,2
9/14/2018 4:47:00 PM,72.53,72.55,72.53,72.55,20
9/14/2018 4:46:00 PM,72.54,72.54,72.53,72.53,46
9/14/2018 4:45:00 PM,72.545,72.545,72.54,72.54,1
9/14/2018 4:44:00 PM,72.5075,72.545,72.5075,72.545,23
9/14/2018 4:43:00 PM,72.5125,72.5125,72.5075,72.5075,1
9/14/2018 4:42:00 PM,72.51,72.52,72.51,72.5125,16
9/14/2018 4:41:00 PM,72.475,72.51,72.475,72.51,163
9/14/2018 4:40:00 PM,72.475,72.475,72.475,72.475,0
9/14/2018 4:39:00 PM,72.475,72.475,72.475,72.475,0
9/14/2018 4:38:00 PM,72.48,72.48,72.475,72.475,5
9/14/2018 4:37:00 PM,72.48,72.48,72.48,72.48,0
9/14/2018 4:36:00 PM,72.505,72.505,72.48,72.48,11
9/14/2018 4:35:00 PM,72.505,72.505,72.505,72.505,0
9/14/2018 4:34:00 PM,72.505,72.5075,72.4975,72.505,40
9/14/2018 4:33:00 PM,72.51,72.51,72.4975,72.505,10
9/14/2018 4:32:00 PM,72.505,72.51,72.505,72.51,10
9/14/2018 4:31:00 PM,72.515,72.5175,72.505,72.505,883
9/14/2018 4:30:00 PM,72.4975,72.515,72.4975,72.515,236
9/14/2018 4:29:00 PM,72.4725,72.4975,72.4725,72.4975,201
9/14/2018 4:28:00 PM,72.49,72.49,72.4725,72.4725,124
9/14/2018 4:27:00 PM,72.535,72.535,72.4875,72.4875,48
9/14/2018 4:26:00 PM,72.5075,72.535,72.5075,72.535,17
9/14/2018 4:25:00 PM,72.5225,72.5225,72.5075,72.5075,63
9/14/2018 4:24:00 PM,72.5225,72.5225,72.5225,72.5225,0
9/14/2018 4:23:00 PM,72.5225,72.5225,72.5225,72.5225,0
9/14/2018 4:22:00 PM,72.5225,72.5225,72.5225,72.5225,0
9/14/2018 4:21:00 PM,72.5275,72.5275,72.5225,72.5225,1
9/14/2018 4:20:00 PM,72.5275,72.5275,72.5275,72.5275,0
9/14/2018 4:19:00 PM,72.525,72.5275,72.525,72.5275,1
9/14/2018 4:18:00 PM,72.59,72.59,72.51,72.525,301
9/14/2018 4:17:00 PM,72.59,72.59,72.59,72.59,0
9/14/2018 4:16:00 PM,72.59,72.59,72.59,72.59,0
9/14/2018 4:15:00 PM,72.59,72.59,72.59,72.59,0
9/14/2018 4:14:00 PM,72.6075,72.6075,72.59,72.59,69
9/14/2018 4:13:00 PM,72.6175,72.62,72.605,72.6075,38
9/14/2018 4:12:00 PM,72.56,72.6175,72.56,72.6175,57
9/14/2018 4:11:00 PM,72.56,72.56,72.56,72.56,0
9/14/2018 4:10:00 PM,72.56,72.56,72.56,72.56,0
9/14/2018 4:09:00 PM,72.56,72.56,72.56,72.56,0
9/14/2018 4:08:00 PM,72.5575,72.56,72.5575,72.56,50
9/14/2018 4:07:00 PM,72.5825,72.5825,72.5575,72.5575,8
9/14/2018 4:06:00 PM,72.585,72.585,72.5825,72.5825,5
9/14/2018 4:05:00 PM,72.575,72.5875,72.575,72.585,37
9/14/2018 4:04:00 PM,72.575,72.575,72.575,72.575,0
9/14/2018 4:03:00 PM,72.5675,72.575,72.5675,72.575,11
9/14/2018 4:02:00 PM,72.595,72.595,72.565,72.5675,217
9/14/2018 4:01:00 PM,72.595,72.595,72.595,72.595,0
9/14/2018 4:00:00 PM,72.605,72.61,72.595,72.595,63
9/14/2018 3:59:00 PM,72.6,72.605,72.5975,72.605,10
9/14/2018 3:58:00 PM,72.5975,72.6,72.5975,72.6,25
9/14/2018 3:57:00 PM,72.59,72.5975,72.59,72.5975,11
9/14/2018 3:56:00 PM,72.59,72.59,72.59,72.59,300
9/14/2018 3:55:00 PM,72.59,72.59,72.59,72.59,0
9/14/2018 3:54:00 PM,72.59,72.59,72.59,72.59,1
9/14/2018 3:53:00 PM,72.5875,72.59,72.5825,72.59,315
9/14/2018 3:52:00 PM,72.5875,72.5875,72.5875,72.5875,0
9/14/2018 3:51:00 PM,72.6075,72.6075,72.5875,72.5875,5
9/14/2018 3:50:00 PM,72.6075,72.6075,72.6075,72.6075,0
9/14/2018 3:49:00 PM,72.6125,72.6125,72.6075,72.6075,1
9/14/2018 3:48:00 PM,72.6125,72.6125,72.6125,72.6125,0
9/14/2018 3:47:00 PM,72.605,72.6125,72.6025,72.6125,35
9/14/2018 3:46:00 PM,72.615,72.615,72.605,72.605,150
9/14/2018 3:45:00 PM,72.615,72.615,72.615,72.615,0
9/14/2018 3:44:00 PM,72.6225,72.6225,72.615,72.615,65
9/14/2018 3:43:00 PM,72.6275,72.6275,72.6225,72.6225,6
9/14/2018 3:42:00 PM,72.6425,72.6425,72.6275,72.6275,72
9/14/2018 3:41:00 PM,72.6425,72.6425,72.6425,72.6425,0
9/14/2018 3:40:00 PM,72.6275,72.6425,72.6275,72.6425,3
9/14/2018 3:39:00 PM,72.605,72.63,72.605,72.6275,67
9/14/2018 3:38:00 PM,72.605,72.605,72.605,72.605,0
9/14/2018 3:37:00 PM,72.6125,72.6125,72.605,72.605,5
9/14/2018 3:36:00 PM,72.6325,72.6325,72.6125,72.6125,43
9/14/2018 3:35:00 PM,72.63,72.635,72.6125,72.6325,542
9/14/2018 3:34:00 PM,72.64,72.64,72.63,72.63,7
9/14/2018 3:33:00 PM,72.64,72.64,72.64,72.64,0
9/14/2018 3:32:00 PM,72.6175,72.64,72.6175,72.64,5
9/14/2018 3:31:00 PM,72.59,72.6275,72.59,72.6175,102
9/14/2018 3:30:00 PM,72.57,72.59,72.57,72.59,195
9/14/2018 3:29:00 PM,72.59,72.59,72.57,72.57,1
9/14/2018 3:28:00 PM,72.595,72.595,72.59,72.59,36
9/14/2018 3:27:00 PM,72.5675,72.595,72.5675,72.595,60
9/14/2018 3:26:00 PM,72.58,72.5875,72.5675,72.5675,54
9/14/2018 3:25:00 PM,72.5475,72.58,72.5475,72.58,34
9/14/2018 3:24:00 PM,72.5125,72.5525,72.5125,72.5475,170
9/14/2018 3:23:00 PM,72.495,72.5125,72.495,72.5125,234
9/14/2018 3:22:00 PM,72.5,72.5,72.495,72.495,10
9/14/2018 3:21:00 PM,72.49,72.5,72.49,72.5,11
9/14/2018 3:20:00 PM,72.49,72.49,72.49,72.49,30
9/14/2018 3:19:00 PM,72.49,72.49,72.49,72.49,0
9/14/2018 3:18:00 PM,72.4875,72.49,72.4875,72.49,1
9/14/2018 3:17:00 PM,72.4875,72.4875,72.4875,72.4875,0
9/14/2018 3:16:00 PM,72.49,72.49,72.485,72.4875,12
9/14/2018 3:15:00 PM,72.5,72.5025,72.49,72.49,105
9/14/2018 3:14:00 PM,72.4975,72.5,72.4975,72.5,52
9/14/2018 3:13:00 PM,72.4975,72.4975,72.4925,72.4975,18
