Date,USDINR18OCT72.5CE O,USDINR18OCT72.5CE H,USDINR18OCT72.5CE L,USDINR18OCT72.5CE C,USDINR18OCT72.5CE V
9/14/2018 4:59:00 PM,0.64,0.64,0.6275,0.6275,775
9/14/2018 4:58:00 PM,0.64,0.64,0.64,0.64,0
9/14/2018 4:57:00 PM,0.6575,0.6575,0.64,0.64,258
9/14/2018 4:56:00 PM,0.635,0.6575,0.635,0.6575,154
9/14/2018 4:55:00 PM,0.635,0.635,0.635,0.635,0
9/14/2018 4:54:00 PM,0.6375,0.6375,0.635,0.635,5
9/14/2018 4:53:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:52:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:51:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:50:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:49:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:48:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:47:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:46:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:45:00 PM,0.6375,0.6375,0.6375,0.6375,0
9/14/2018 4:44:00 PM,0.63,0.6375,0.63,0.6375,1
9/14/2018 4:43:00 PM,0.63,0.63,0.63,0.63,0
9/14/2018 4:42:00 PM,0.63,0.63,0.63,0.63,0
9/14/2018 4:41:00 PM,0.6275,0.63,0.6275,0.63,18
9/14/2018 4:40:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:39:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:38:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:37:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:36:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:35:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:34:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:33:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:32:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:31:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:30:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:29:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:28:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:27:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:26:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:25:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:24:00 PM,0.6275,0.6275,0.6275,0.6275,50
9/14/2018 4:23:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 4:22:00 PM,0.6625,0.6625,0.6275,0.6275,819
9/14/2018 4:21:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:20:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:19:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:18:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:17:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:16:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:15:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:14:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:13:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:12:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:11:00 PM,0.66,0.6625,0.66,0.6625,921
9/14/2018 4:10:00 PM,0.655,0.66,0.655,0.66,422
9/14/2018 4:09:00 PM,0.6625,0.6625,0.655,0.655,160
9/14/2018 4:08:00 PM,0.6625,0.6625,0.6625,0.6625,0
9/14/2018 4:07:00 PM,0.6625,0.6625,0.6625,0.6625,22
9/14/2018 4:06:00 PM,0.6675,0.6675,0.6675,0.6675,0
9/14/2018 4:05:00 PM,0.67,0.67,0.6675,0.6675,42
9/14/2018 4:04:00 PM,0.67,0.67,0.67,0.67,0
9/14/2018 4:03:00 PM,0.67,0.67,0.67,0.67,0
9/14/2018 4:02:00 PM,0.67,0.67,0.67,0.67,0
9/14/2018 4:01:00 PM,0.675,0.675,0.67,0.67,50
9/14/2018 4:00:00 PM,0.675,0.6775,0.675,0.675,447
9/14/2018 3:59:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:58:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:57:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:56:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:55:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:54:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:53:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:52:00 PM,0.675,0.675,0.675,0.675,0
9/14/2018 3:51:00 PM,0.685,0.685,0.675,0.675,40
9/14/2018 3:50:00 PM,0.685,0.685,0.685,0.685,0
9/14/2018 3:49:00 PM,0.685,0.685,0.685,0.685,0
9/14/2018 3:48:00 PM,0.685,0.685,0.685,0.685,0
9/14/2018 3:47:00 PM,0.685,0.685,0.685,0.685,0
9/14/2018 3:46:00 PM,0.7125,0.7125,0.685,0.685,200
9/14/2018 3:45:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:44:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:43:00 PM,0.7125,0.7125,0.7125,0.7125,2
9/14/2018 3:42:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:41:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:40:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:39:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:38:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:37:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:36:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:35:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:34:00 PM,0.7125,0.7125,0.7125,0.7125,0
9/14/2018 3:33:00 PM,0.69,0.7125,0.69,0.7125,44
9/14/2018 3:32:00 PM,0.6925,0.695,0.69,0.69,158
9/14/2018 3:31:00 PM,0.6775,0.6925,0.6775,0.6925,62
9/14/2018 3:30:00 PM,0.6775,0.6775,0.6775,0.6775,0
9/14/2018 3:29:00 PM,0.6775,0.6775,0.6775,0.6775,0
9/14/2018 3:28:00 PM,0.675,0.6775,0.675,0.6775,28
9/14/2018 3:27:00 PM,0.665,0.675,0.665,0.675,107
9/14/2018 3:26:00 PM,0.67,0.67,0.665,0.665,1
9/14/2018 3:25:00 PM,0.65,0.67,0.65,0.67,43
9/14/2018 3:24:00 PM,0.625,0.65,0.625,0.65,145
9/14/2018 3:23:00 PM,0.625,0.625,0.625,0.625,0
9/14/2018 3:22:00 PM,0.625,0.625,0.625,0.625,0
9/14/2018 3:21:00 PM,0.625,0.625,0.625,0.625,0
9/14/2018 3:20:00 PM,0.625,0.625,0.625,0.625,0
9/14/2018 3:19:00 PM,0.6275,0.6275,0.625,0.625,25
9/14/2018 3:18:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 3:17:00 PM,0.6275,0.6275,0.6275,0.6275,0
9/14/2018 3:16:00 PM,0.63,0.63,0.6275,0.6275,25
9/14/2018 3:15:00 PM,0.6325,0.6325,0.63,0.63,25
9/14/2018 3:14:00 PM,0.6325,0.6325,0.6325,0.6325,0
9/14/2018 3:13:00 PM,0.63,0.6325,0.63,0.6325,80
9/14/2018 3:12:00 PM,0.6325,0.6325,0.63,0.63,10
9/14/2018 3:11:00 PM,0.6325,0.6325,0.6325,0.6325,0
9/14/2018 3:10:00 PM,0.6325,0.6325,0.6325,0.6325,0
9/14/2018 3:09:00 PM,0.6325,0.6325,0.6325,0.6325,0
9/14/2018 3:08:00 PM,0.6325,0.6325,0.6325,0.6325,0
9/14/2018 3:07:00 PM,0.635,0.635,0.6325,0.6325,10
9/14/2018 3:06:00 PM,0.62,0.635,0.62,0.635,33
9/14/2018 3:05:00 PM,0.625,0.625,0.62,0.62,16
9/14/2018 3:04:00 PM,0.6075,0.625,0.6075,0.625,51
9/14/2018 3:03:00 PM,0.61,0.61,0.6075,0.6075,5
9/14/2018 3:02:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 3:01:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 3:00:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:59:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:58:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:57:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:56:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:55:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:54:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:53:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 2:52:00 PM,0.59,0.61,0.59,0.61,4
9/14/2018 2:51:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 2:50:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 2:49:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 2:48:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 2:47:00 PM,0.5975,0.5975,0.59,0.59,264
9/14/2018 2:46:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:45:00 PM,0.595,0.6,0.595,0.5975,297
9/14/2018 2:44:00 PM,0.595,0.595,0.595,0.595,0
9/14/2018 2:43:00 PM,0.595,0.595,0.595,0.595,0
9/14/2018 2:42:00 PM,0.595,0.595,0.595,0.595,0
9/14/2018 2:41:00 PM,0.595,0.595,0.595,0.595,0
9/14/2018 2:40:00 PM,0.595,0.595,0.595,0.595,0
9/14/2018 2:39:00 PM,0.5975,0.5975,0.595,0.595,7
9/14/2018 2:38:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:37:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:36:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:35:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:34:00 PM,0.5975,0.5975,0.595,0.5975,23
9/14/2018 2:33:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:32:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:31:00 PM,0.5975,0.5975,0.5975,0.5975,0
9/14/2018 2:30:00 PM,0.605,0.605,0.5975,0.5975,50
9/14/2018 2:29:00 PM,0.605,0.605,0.605,0.605,0
9/14/2018 2:28:00 PM,0.605,0.605,0.605,0.605,0
