Date,USDINR18OCT73CE O,USDINR18OCT73CE H,USDINR18OCT73CE L,USDINR18OCT73CE C,USDINR18OCT73CE V
9/14/2018 4:59:00 PM,0.46,0.46,0.45,0.4525,251
9/14/2018 4:58:00 PM,0.47,0.47,0.46,0.46,787
9/14/2018 4:57:00 PM,0.4725,0.4725,0.47,0.47,71
9/14/2018 4:56:00 PM,0.47,0.475,0.47,0.4725,283
9/14/2018 4:55:00 PM,0.4675,0.47,0.4675,0.47,10
9/14/2018 4:54:00 PM,0.4675,0.4675,0.4675,0.4675,0
9/14/2018 4:53:00 PM,0.47,0.47,0.4675,0.4675,10
9/14/2018 4:52:00 PM,0.47,0.47,0.47,0.47,0
9/14/2018 4:51:00 PM,0.475,0.475,0.47,0.47,10
9/14/2018 4:50:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 4:49:00 PM,0.4675,0.475,0.4675,0.475,12
9/14/2018 4:48:00 PM,0.4675,0.4675,0.4675,0.4675,0
9/14/2018 4:47:00 PM,0.4625,0.4675,0.4625,0.4675,21
9/14/2018 4:46:00 PM,0.46,0.4625,0.46,0.4625,1
9/14/2018 4:45:00 PM,0.4625,0.4625,0.46,0.46,1
9/14/2018 4:44:00 PM,0.46,0.4625,0.46,0.4625,10
9/14/2018 4:43:00 PM,0.455,0.46,0.455,0.46,20
9/14/2018 4:42:00 PM,0.4525,0.455,0.4525,0.455,10
9/14/2018 4:41:00 PM,0.45,0.4525,0.45,0.4525,10
9/14/2018 4:40:00 PM,0.445,0.45,0.445,0.45,24
9/14/2018 4:39:00 PM,0.445,0.445,0.445,0.445,0
9/14/2018 4:38:00 PM,0.4475,0.4475,0.445,0.445,10
9/14/2018 4:37:00 PM,0.4475,0.4475,0.4475,0.4475,10
9/14/2018 4:36:00 PM,0.4475,0.4475,0.445,0.4475,20
9/14/2018 4:35:00 PM,0.45,0.45,0.4475,0.4475,20
9/14/2018 4:34:00 PM,0.45,0.45,0.45,0.45,0
9/14/2018 4:33:00 PM,0.45,0.45,0.45,0.45,0
9/14/2018 4:32:00 PM,0.45,0.45,0.45,0.45,0
9/14/2018 4:31:00 PM,0.445,0.45,0.445,0.45,20
9/14/2018 4:30:00 PM,0.445,0.445,0.445,0.445,0
9/14/2018 4:29:00 PM,0.445,0.445,0.445,0.445,0
9/14/2018 4:28:00 PM,0.4475,0.4475,0.445,0.445,20
9/14/2018 4:27:00 PM,0.46,0.46,0.4475,0.4475,90
9/14/2018 4:26:00 PM,0.455,0.46,0.455,0.46,20
9/14/2018 4:25:00 PM,0.4575,0.4625,0.455,0.455,94
9/14/2018 4:24:00 PM,0.455,0.4575,0.455,0.4575,10
9/14/2018 4:23:00 PM,0.4525,0.455,0.4525,0.455,20
9/14/2018 4:22:00 PM,0.46,0.46,0.4525,0.4525,100
9/14/2018 4:21:00 PM,0.4675,0.4675,0.46,0.46,20
9/14/2018 4:20:00 PM,0.4675,0.4675,0.4675,0.4675,0
9/14/2018 4:19:00 PM,0.4725,0.4725,0.4675,0.4675,90
9/14/2018 4:18:00 PM,0.485,0.485,0.46,0.47,484
9/14/2018 4:17:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 4:16:00 PM,0.4875,0.4875,0.485,0.485,10
9/14/2018 4:15:00 PM,0.49,0.49,0.4875,0.4875,10
9/14/2018 4:14:00 PM,0.49,0.4925,0.4875,0.49,2064
9/14/2018 4:13:00 PM,0.49,0.4925,0.49,0.49,21
9/14/2018 4:12:00 PM,0.4875,0.49,0.485,0.49,1235
9/14/2018 4:11:00 PM,0.4825,0.485,0.4825,0.485,12
9/14/2018 4:10:00 PM,0.475,0.4825,0.475,0.4825,30
9/14/2018 4:09:00 PM,0.475,0.475,0.4675,0.475,42
9/14/2018 4:08:00 PM,0.4775,0.4775,0.475,0.475,20
9/14/2018 4:07:00 PM,0.4775,0.4825,0.4775,0.4775,410
9/14/2018 4:06:00 PM,0.48,0.48,0.4775,0.4775,82
9/14/2018 4:05:00 PM,0.4775,0.48,0.4775,0.48,10
9/14/2018 4:04:00 PM,0.4775,0.4775,0.4775,0.4775,0
9/14/2018 4:03:00 PM,0.475,0.4775,0.475,0.4775,10
9/14/2018 4:02:00 PM,0.48,0.48,0.475,0.475,20
9/14/2018 4:01:00 PM,0.49,0.49,0.48,0.48,60
9/14/2018 4:00:00 PM,0.495,0.495,0.49,0.49,28
9/14/2018 3:59:00 PM,0.495,0.495,0.495,0.495,1
9/14/2018 3:58:00 PM,0.49,0.495,0.49,0.495,11
9/14/2018 3:57:00 PM,0.49,0.49,0.49,0.49,0
9/14/2018 3:56:00 PM,0.49,0.49,0.49,0.49,0
