Date,USDINR18OCTFUT O,USDINR18OCTFUT H,USDINR18OCTFUT L,USDINR18OCTFUT C,USDINR18OCTFUT V
9/14/2018 4:59:00 PM,72.2675,72.2675,72.24,72.24,713
9/14/2018 4:58:00 PM,72.265,72.27,72.2575,72.2675,1463
9/14/2018 4:57:00 PM,72.2725,72.2725,72.265,72.265,951
9/14/2018 4:56:00 PM,72.2725,72.2775,72.265,72.2725,906
9/14/2018 4:55:00 PM,72.2625,72.2725,72.2625,72.2725,2385
9/14/2018 4:54:00 PM,72.27,72.27,72.2625,72.2625,1754
9/14/2018 4:53:00 PM,72.28,72.28,72.265,72.27,1814
9/14/2018 4:52:00 PM,72.2675,72.285,72.265,72.28,672
9/14/2018 4:51:00 PM,72.275,72.275,72.2675,72.2675,663
9/14/2018 4:50:00 PM,72.295,72.295,72.275,72.275,738
9/14/2018 4:49:00 PM,72.2875,72.295,72.2875,72.295,191
9/14/2018 4:48:00 PM,72.28,72.2875,72.28,72.2875,639
9/14/2018 4:47:00 PM,72.2625,72.2825,72.2625,72.28,1953
9/14/2018 4:46:00 PM,72.2625,72.2675,72.2575,72.2625,965
9/14/2018 4:45:00 PM,72.27,72.27,72.2575,72.2625,439
9/14/2018 4:44:00 PM,72.2625,72.27,72.255,72.27,1168
9/14/2018 4:43:00 PM,72.245,72.2625,72.235,72.2625,263
9/14/2018 4:42:00 PM,72.23,72.25,72.23,72.245,391
9/14/2018 4:41:00 PM,72.2225,72.235,72.2225,72.235,480
9/14/2018 4:40:00 PM,72.2225,72.225,72.215,72.2225,323
9/14/2018 4:39:00 PM,72.2175,72.2225,72.2175,72.2225,22
9/14/2018 4:38:00 PM,72.21,72.2175,72.205,72.2175,192
9/14/2018 4:37:00 PM,72.22,72.22,72.21,72.21,146
9/14/2018 4:36:00 PM,72.2075,72.22,72.205,72.22,2541
9/14/2018 4:35:00 PM,72.23,72.23,72.2075,72.2075,180
9/14/2018 4:34:00 PM,72.2225,72.2325,72.22,72.23,1603
9/14/2018 4:33:00 PM,72.2275,72.2325,72.22,72.2225,978
9/14/2018 4:32:00 PM,72.24,72.24,72.22,72.2275,491
9/14/2018 4:31:00 PM,72.2375,72.245,72.2325,72.2325,671
9/14/2018 4:30:00 PM,72.2225,72.2375,72.2175,72.2375,750
9/14/2018 4:29:00 PM,72.21,72.2225,72.2025,72.2225,1393
9/14/2018 4:28:00 PM,72.22,72.22,72.2025,72.21,1565
9/14/2018 4:27:00 PM,72.26,72.26,72.2075,72.21,608
9/14/2018 4:26:00 PM,72.2425,72.2625,72.2425,72.26,34
9/14/2018 4:25:00 PM,72.25,72.26,72.2325,72.2425,232
9/14/2018 4:24:00 PM,72.24,72.2525,72.24,72.25,748
9/14/2018 4:23:00 PM,72.235,72.24,72.2275,72.24,1726
9/14/2018 4:22:00 PM,72.2375,72.2475,72.23,72.23,1590
9/14/2018 4:21:00 PM,72.2575,72.2575,72.2375,72.2375,280
9/14/2018 4:20:00 PM,72.26,72.27,72.2575,72.2575,666
9/14/2018 4:19:00 PM,72.27,72.27,72.2525,72.26,121
9/14/2018 4:18:00 PM,72.2925,72.2925,72.24,72.27,1560
9/14/2018 4:17:00 PM,72.2925,72.3,72.2875,72.2925,362
9/14/2018 4:16:00 PM,72.3125,72.3125,72.29,72.2925,773
9/14/2018 4:15:00 PM,72.3175,72.32,72.3075,72.3125,87
9/14/2018 4:14:00 PM,72.33,72.3325,72.315,72.3175,255
