Date,USDINR18SEP71.5PE O,USDINR18SEP71.5PE H,USDINR18SEP71.5PE L,USDINR18SEP71.5PE C,USDINR18SEP71.5PE V
9/14/2018 4:59:00 PM,0.245,0.25,0.245,0.245,680
9/14/2018 4:58:00 PM,0.235,0.245,0.235,0.245,2474
9/14/2018 4:57:00 PM,0.235,0.235,0.2325,0.2325,846
9/14/2018 4:56:00 PM,0.235,0.235,0.235,0.235,561
9/14/2018 4:55:00 PM,0.24,0.24,0.235,0.235,446
9/14/2018 4:54:00 PM,0.235,0.24,0.235,0.24,282
9/14/2018 4:53:00 PM,0.2325,0.2375,0.2325,0.235,349
9/14/2018 4:52:00 PM,0.235,0.235,0.2325,0.2325,75
9/14/2018 4:51:00 PM,0.2325,0.235,0.2325,0.235,650
9/14/2018 4:50:00 PM,0.23,0.2325,0.2275,0.2325,389
9/14/2018 4:49:00 PM,0.23,0.23,0.2275,0.23,130
9/14/2018 4:48:00 PM,0.23,0.2325,0.23,0.23,3445
9/14/2018 4:47:00 PM,0.2375,0.2375,0.23,0.23,286
9/14/2018 4:46:00 PM,0.2325,0.2375,0.2325,0.2375,16
9/14/2018 4:45:00 PM,0.235,0.235,0.2325,0.2325,962
9/14/2018 4:44:00 PM,0.235,0.2375,0.235,0.235,170
9/14/2018 4:43:00 PM,0.245,0.245,0.235,0.235,260
9/14/2018 4:42:00 PM,0.2475,0.2475,0.2425,0.245,519
9/14/2018 4:41:00 PM,0.25,0.25,0.245,0.2475,139
9/14/2018 4:40:00 PM,0.25,0.2525,0.25,0.25,92
9/14/2018 4:39:00 PM,0.25,0.25,0.25,0.25,26
9/14/2018 4:38:00 PM,0.25,0.255,0.25,0.25,1536
9/14/2018 4:37:00 PM,0.25,0.25,0.25,0.25,11
9/14/2018 4:36:00 PM,0.2525,0.255,0.25,0.25,213
9/14/2018 4:35:00 PM,0.245,0.2525,0.245,0.2525,52
9/14/2018 4:34:00 PM,0.2475,0.2475,0.245,0.245,61
9/14/2018 4:33:00 PM,0.2475,0.25,0.245,0.2475,460
9/14/2018 4:32:00 PM,0.2425,0.2475,0.2425,0.2475,2144
9/14/2018 4:31:00 PM,0.245,0.245,0.2425,0.2425,81
9/14/2018 4:30:00 PM,0.2475,0.25,0.245,0.245,326
9/14/2018 4:29:00 PM,0.25,0.255,0.2475,0.2475,1573
9/14/2018 4:28:00 PM,0.25,0.2525,0.2475,0.25,1461
9/14/2018 4:27:00 PM,0.24,0.25,0.24,0.25,2822
9/14/2018 4:26:00 PM,0.24,0.24,0.24,0.24,0
9/14/2018 4:25:00 PM,0.2375,0.24,0.2325,0.24,479
9/14/2018 4:24:00 PM,0.24,0.24,0.235,0.2375,1008
9/14/2018 4:23:00 PM,0.24,0.2425,0.24,0.24,786
9/14/2018 4:22:00 PM,0.2375,0.24,0.235,0.24,675
9/14/2018 4:21:00 PM,0.2325,0.2375,0.2325,0.2375,774
9/14/2018 4:20:00 PM,0.2325,0.2325,0.2275,0.2325,153
9/14/2018 4:19:00 PM,0.23,0.2325,0.23,0.2325,3578
9/14/2018 4:18:00 PM,0.225,0.2425,0.225,0.2325,1319
9/14/2018 4:17:00 PM,0.225,0.225,0.22,0.225,5146
9/14/2018 4:16:00 PM,0.215,0.2225,0.215,0.2225,5155
9/14/2018 4:15:00 PM,0.215,0.22,0.215,0.215,945
9/14/2018 4:14:00 PM,0.2125,0.215,0.2125,0.215,3240
9/14/2018 4:13:00 PM,0.2075,0.2125,0.205,0.2125,4287
9/14/2018 4:12:00 PM,0.215,0.215,0.2075,0.2075,7653
9/14/2018 4:11:00 PM,0.225,0.225,0.215,0.215,3207
9/14/2018 4:10:00 PM,0.2275,0.2275,0.225,0.225,5916
9/14/2018 4:09:00 PM,0.23,0.235,0.2275,0.2275,3282
9/14/2018 4:08:00 PM,0.235,0.2375,0.23,0.23,7257
9/14/2018 4:07:00 PM,0.2325,0.2375,0.2325,0.235,8792
9/14/2018 4:06:00 PM,0.2325,0.2325,0.2325,0.2325,3710
9/14/2018 4:05:00 PM,0.2375,0.2375,0.2325,0.2325,583
9/14/2018 4:04:00 PM,0.2375,0.2375,0.2375,0.2375,0
9/14/2018 4:03:00 PM,0.24,0.24,0.2375,0.2375,1272
9/14/2018 4:02:00 PM,0.2375,0.24,0.2375,0.24,318
9/14/2018 4:01:00 PM,0.2275,0.2375,0.2275,0.2375,110
9/14/2018 4:00:00 PM,0.2275,0.2275,0.2275,0.2275,58
