Date,USDINR18SEP71.75CE O,USDINR18SEP71.75CE H,USDINR18SEP71.75CE L,USDINR18SEP71.75CE C,USDINR18SEP71.75CE V
9/14/2018 4:59:00 PM,0.5425,0.5425,0.535,0.535,3
9/14/2018 4:58:00 PM,0.5375,0.5425,0.5375,0.5425,599
9/14/2018 4:57:00 PM,0.54,0.5425,0.5375,0.5375,357
9/14/2018 4:56:00 PM,0.5375,0.54,0.5375,0.54,200
9/14/2018 4:55:00 PM,0.5425,0.5425,0.5375,0.5375,156
9/14/2018 4:54:00 PM,0.5425,0.5425,0.5425,0.5425,0
9/14/2018 4:53:00 PM,0.54,0.5425,0.54,0.5425,25
9/14/2018 4:52:00 PM,0.54,0.54,0.54,0.54,0
9/14/2018 4:51:00 PM,0.5475,0.5475,0.54,0.54,842
9/14/2018 4:50:00 PM,0.555,0.555,0.545,0.5475,169
9/14/2018 4:49:00 PM,0.5425,0.555,0.5425,0.555,101
9/14/2018 4:48:00 PM,0.5425,0.5425,0.5425,0.5425,0
9/14/2018 4:47:00 PM,0.54,0.545,0.54,0.5425,72
9/14/2018 4:46:00 PM,0.54,0.54,0.54,0.54,424
9/14/2018 4:45:00 PM,0.5225,0.5225,0.5225,0.5225,0
9/14/2018 4:44:00 PM,0.5225,0.5225,0.5225,0.5225,0
9/14/2018 4:43:00 PM,0.5225,0.5225,0.5225,0.5225,0
9/14/2018 4:42:00 PM,0.52,0.53,0.52,0.5225,211
9/14/2018 4:41:00 PM,0.515,0.5225,0.515,0.52,76
9/14/2018 4:40:00 PM,0.515,0.515,0.515,0.515,0
9/14/2018 4:39:00 PM,0.51,0.515,0.51,0.515,167
9/14/2018 4:38:00 PM,0.51,0.51,0.505,0.51,234
9/14/2018 4:37:00 PM,0.505,0.51,0.505,0.51,190
9/14/2018 4:36:00 PM,0.505,0.505,0.505,0.505,0
9/14/2018 4:35:00 PM,0.52,0.52,0.505,0.505,249
9/14/2018 4:34:00 PM,0.5175,0.52,0.515,0.52,33
9/14/2018 4:33:00 PM,0.5175,0.5175,0.5175,0.5175,0
9/14/2018 4:32:00 PM,0.52,0.52,0.515,0.5175,235
9/14/2018 4:31:00 PM,0.515,0.52,0.515,0.52,115
9/14/2018 4:30:00 PM,0.5,0.515,0.5,0.515,25
9/14/2018 4:29:00 PM,0.5,0.5,0.5,0.5,0
9/14/2018 4:28:00 PM,0.505,0.5075,0.4975,0.5,484
9/14/2018 4:27:00 PM,0.5325,0.5325,0.505,0.505,120
9/14/2018 4:26:00 PM,0.5225,0.5325,0.5225,0.5325,50
9/14/2018 4:25:00 PM,0.515,0.5225,0.515,0.5225,1
9/14/2018 4:24:00 PM,0.515,0.515,0.515,0.515,0
9/14/2018 4:23:00 PM,0.5125,0.515,0.5125,0.515,132
9/14/2018 4:22:00 PM,0.52,0.52,0.5125,0.5125,100
9/14/2018 4:21:00 PM,0.53,0.53,0.52,0.52,2
9/14/2018 4:20:00 PM,0.53,0.5375,0.53,0.53,61
9/14/2018 4:19:00 PM,0.53,0.53,0.53,0.53,200
9/14/2018 4:18:00 PM,0.5575,0.5575,0.5275,0.53,732
9/14/2018 4:17:00 PM,0.55,0.5575,0.55,0.5575,64
9/14/2018 4:16:00 PM,0.5725,0.5725,0.55,0.55,251
9/14/2018 4:15:00 PM,0.5725,0.5725,0.5725,0.5725,0
9/14/2018 4:14:00 PM,0.5775,0.5775,0.5725,0.5725,63
9/14/2018 4:13:00 PM,0.5825,0.585,0.5775,0.5775,120
9/14/2018 4:12:00 PM,0.5675,0.5825,0.5675,0.5825,349
9/14/2018 4:11:00 PM,0.5675,0.5675,0.5675,0.5675,50
9/14/2018 4:10:00 PM,0.5675,0.5675,0.5675,0.5675,65
9/14/2018 4:09:00 PM,0.5675,0.5675,0.5675,0.5675,0
9/14/2018 4:08:00 PM,0.5675,0.5675,0.5675,0.5675,0
9/14/2018 4:07:00 PM,0.5675,0.5675,0.5675,0.5675,0
9/14/2018 4:06:00 PM,0.5675,0.5675,0.5675,0.5675,0
9/14/2018 4:05:00 PM,0.5675,0.5675,0.5675,0.5675,0
9/14/2018 4:04:00 PM,0.5675,0.57,0.5675,0.5675,11
9/14/2018 4:03:00 PM,0.5675,0.5675,0.5675,0.5675,0
9/14/2018 4:02:00 PM,0.59,0.59,0.5675,0.5675,52
9/14/2018 4:01:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 4:00:00 PM,0.59,0.59,0.59,0.59,0
9/14/2018 3:59:00 PM,0.58,0.59,0.58,0.59,100
9/14/2018 3:58:00 PM,0.58,0.58,0.58,0.58,0
9/14/2018 3:57:00 PM,0.5775,0.58,0.5775,0.58,100
9/14/2018 3:56:00 PM,0.5775,0.5775,0.5775,0.5775,0
9/14/2018 3:55:00 PM,0.58,0.58,0.5775,0.5775,66
9/14/2018 3:54:00 PM,0.58,0.58,0.58,0.58,0
9/14/2018 3:53:00 PM,0.5775,0.58,0.5775,0.58,140
9/14/2018 3:52:00 PM,0.585,0.585,0.5775,0.5775,1
9/14/2018 3:51:00 PM,0.585,0.585,0.585,0.585,0
9/14/2018 3:50:00 PM,0.5875,0.5875,0.585,0.585,6
9/14/2018 3:49:00 PM,0.5925,0.5925,0.5875,0.5875,35
9/14/2018 3:48:00 PM,0.5975,0.5975,0.5925,0.5925,30
9/14/2018 3:47:00 PM,0.6025,0.6025,0.5975,0.5975,225
9/14/2018 3:46:00 PM,0.6025,0.6025,0.6025,0.6025,0
9/14/2018 3:45:00 PM,0.61,0.61,0.6025,0.6025,34
9/14/2018 3:44:00 PM,0.61,0.61,0.61,0.61,0
9/14/2018 3:43:00 PM,0.61,0.61,0.61,0.61,13
9/14/2018 3:42:00 PM,0.62,0.62,0.61,0.61,1
9/14/2018 3:41:00 PM,0.6225,0.6225,0.62,0.62,63
9/14/2018 3:40:00 PM,0.6175,0.6225,0.6175,0.6225,50
9/14/2018 3:39:00 PM,0.61,0.6175,0.61,0.6175,7
9/14/2018 3:38:00 PM,0.61,0.61,0.61,0.61,100
9/14/2018 3:37:00 PM,0.6075,0.6125,0.605,0.61,222
9/14/2018 3:36:00 PM,0.62,0.62,0.6075,0.6075,201
9/14/2018 3:35:00 PM,0.62,0.625,0.62,0.62,164
9/14/2018 3:34:00 PM,0.625,0.625,0.62,0.62,294
9/14/2018 3:33:00 PM,0.6275,0.6275,0.625,0.625,923
9/14/2018 3:32:00 PM,0.61,0.6275,0.61,0.6275,465
9/14/2018 3:31:00 PM,0.59,0.61,0.59,0.61,275
9/14/2018 3:30:00 PM,0.575,0.59,0.575,0.59,211
9/14/2018 3:29:00 PM,0.585,0.585,0.575,0.575,328
9/14/2018 3:28:00 PM,0.5875,0.5875,0.585,0.585,301
9/14/2018 3:27:00 PM,0.575,0.5875,0.575,0.5875,280
9/14/2018 3:26:00 PM,0.5775,0.5775,0.5725,0.575,217
9/14/2018 3:25:00 PM,0.555,0.5775,0.555,0.5775,622
9/14/2018 3:24:00 PM,0.54,0.56,0.54,0.555,1075
9/14/2018 3:23:00 PM,0.5275,0.54,0.5275,0.54,165
9/14/2018 3:22:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 3:21:00 PM,0.525,0.5275,0.525,0.5275,121
9/14/2018 3:20:00 PM,0.525,0.525,0.525,0.525,21
9/14/2018 3:19:00 PM,0.525,0.525,0.525,0.525,31
9/14/2018 3:18:00 PM,0.5275,0.5275,0.525,0.525,14
9/14/2018 3:17:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 3:16:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 3:15:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 3:14:00 PM,0.5175,0.5275,0.5175,0.5275,67
9/14/2018 3:13:00 PM,0.5175,0.5175,0.5175,0.5175,0
9/14/2018 3:12:00 PM,0.5175,0.525,0.5175,0.5175,611
9/14/2018 3:11:00 PM,0.5125,0.5175,0.5125,0.5175,690
9/14/2018 3:10:00 PM,0.51,0.515,0.51,0.5125,4
9/14/2018 3:09:00 PM,0.51,0.51,0.5075,0.51,315
9/14/2018 3:08:00 PM,0.52,0.52,0.51,0.51,13
9/14/2018 3:07:00 PM,0.525,0.525,0.52,0.52,297
9/14/2018 3:06:00 PM,0.51,0.525,0.51,0.525,20
9/14/2018 3:05:00 PM,0.505,0.51,0.5025,0.51,123
9/14/2018 3:04:00 PM,0.49,0.505,0.49,0.505,164
9/14/2018 3:03:00 PM,0.49,0.49,0.4875,0.49,109
9/14/2018 3:02:00 PM,0.49,0.49,0.49,0.49,0
9/14/2018 3:01:00 PM,0.49,0.49,0.49,0.49,15
9/14/2018 3:00:00 PM,0.495,0.495,0.49,0.49,35
9/14/2018 2:59:00 PM,0.485,0.495,0.485,0.495,16
9/14/2018 2:58:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 2:57:00 PM,0.4825,0.485,0.4825,0.485,69
9/14/2018 2:56:00 PM,0.485,0.485,0.4825,0.4825,40
9/14/2018 2:55:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 2:54:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 2:53:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 2:52:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 2:51:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 2:50:00 PM,0.4725,0.485,0.4725,0.485,91
9/14/2018 2:49:00 PM,0.4725,0.4725,0.4725,0.4725,0
9/14/2018 2:48:00 PM,0.4675,0.4725,0.4675,0.4725,74
9/14/2018 2:47:00 PM,0.475,0.475,0.4675,0.4675,16
9/14/2018 2:46:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 2:45:00 PM,0.48,0.48,0.475,0.475,1
9/14/2018 2:44:00 PM,0.4775,0.48,0.4775,0.48,790
9/14/2018 2:43:00 PM,0.47,0.4775,0.47,0.4775,951
9/14/2018 2:42:00 PM,0.47,0.47,0.47,0.47,0
9/14/2018 2:41:00 PM,0.4675,0.47,0.4675,0.47,100
9/14/2018 2:40:00 PM,0.4675,0.4675,0.4675,0.4675,0
9/14/2018 2:39:00 PM,0.465,0.4675,0.465,0.4675,100
9/14/2018 2:38:00 PM,0.465,0.465,0.465,0.465,0
9/14/2018 2:37:00 PM,0.465,0.465,0.465,0.465,0
9/14/2018 2:36:00 PM,0.465,0.465,0.465,0.465,0
9/14/2018 2:35:00 PM,0.4725,0.4725,0.465,0.465,25
9/14/2018 2:34:00 PM,0.4725,0.4725,0.4725,0.4725,0
9/14/2018 2:33:00 PM,0.4775,0.4775,0.4725,0.4725,1
9/14/2018 2:32:00 PM,0.4775,0.4775,0.4775,0.4775,0
9/14/2018 2:31:00 PM,0.4775,0.4775,0.4775,0.4775,0
9/14/2018 2:30:00 PM,0.4775,0.4775,0.4775,0.4775,72
9/14/2018 2:29:00 PM,0.4775,0.4775,0.4775,0.4775,0
9/14/2018 2:28:00 PM,0.4825,0.4825,0.4775,0.4775,50
9/14/2018 2:27:00 PM,0.4775,0.4825,0.4775,0.4825,4
9/14/2018 2:26:00 PM,0.4775,0.4775,0.4775,0.4775,0
9/14/2018 2:25:00 PM,0.4775,0.4775,0.4775,0.4775,0
9/14/2018 2:24:00 PM,0.475,0.4775,0.475,0.4775,5
9/14/2018 2:23:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 2:22:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 2:21:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 2:20:00 PM,0.49,0.49,0.475,0.475,419
9/14/2018 2:19:00 PM,0.49,0.49,0.49,0.49,119
9/14/2018 2:18:00 PM,0.485,0.49,0.485,0.49,2
9/14/2018 2:17:00 PM,0.4925,0.4925,0.485,0.485,111
9/14/2018 2:16:00 PM,0.4925,0.4925,0.4925,0.4925,0
9/14/2018 2:15:00 PM,0.4925,0.4925,0.4925,0.4925,1
9/14/2018 2:14:00 PM,0.49,0.495,0.49,0.4925,102
9/14/2018 2:13:00 PM,0.49,0.49,0.49,0.49,0
9/14/2018 2:12:00 PM,0.4925,0.5,0.49,0.49,452
9/14/2018 2:11:00 PM,0.4925,0.4925,0.4925,0.4925,0
9/14/2018 2:10:00 PM,0.4875,0.4925,0.4875,0.4925,3
9/14/2018 2:09:00 PM,0.49,0.49,0.4875,0.49,379
9/14/2018 2:08:00 PM,0.49,0.49,0.49,0.49,0
9/14/2018 2:07:00 PM,0.4825,0.49,0.4825,0.49,136
9/14/2018 2:06:00 PM,0.4825,0.4825,0.4825,0.4825,0
9/14/2018 2:05:00 PM,0.475,0.4825,0.475,0.4825,100
9/14/2018 2:04:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 2:03:00 PM,0.475,0.475,0.475,0.475,0
9/14/2018 2:02:00 PM,0.48,0.48,0.475,0.475,11
9/14/2018 2:01:00 PM,0.48,0.48,0.48,0.48,0
9/14/2018 2:00:00 PM,0.485,0.485,0.4775,0.48,2
9/14/2018 1:59:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 1:58:00 PM,0.485,0.485,0.485,0.485,0
9/14/2018 1:57:00 PM,0.475,0.4875,0.475,0.485,640
9/14/2018 1:56:00 PM,0.4775,0.4775,0.47,0.475,559
9/14/2018 1:55:00 PM,0.4725,0.4775,0.4725,0.4775,100
9/14/2018 1:54:00 PM,0.475,0.475,0.4725,0.4725,330
9/14/2018 1:53:00 PM,0.4775,0.4775,0.47,0.475,402
9/14/2018 1:52:00 PM,0.4675,0.4775,0.4675,0.4775,125
9/14/2018 1:51:00 PM,0.4525,0.4725,0.4525,0.4675,880
9/14/2018 1:50:00 PM,0.455,0.455,0.4525,0.4525,10
9/14/2018 1:49:00 PM,0.46,0.46,0.455,0.455,914
9/14/2018 1:48:00 PM,0.4475,0.46,0.4475,0.46,228
9/14/2018 1:47:00 PM,0.4475,0.4475,0.4475,0.4475,0
9/14/2018 1:46:00 PM,0.45,0.45,0.4475,0.4475,20
9/14/2018 1:45:00 PM,0.45,0.45,0.45,0.45,0
9/14/2018 1:44:00 PM,0.45,0.4525,0.4475,0.45,311
9/14/2018 1:43:00 PM,0.45,0.455,0.45,0.45,215
9/14/2018 1:42:00 PM,0.4275,0.455,0.4275,0.45,539
9/14/2018 1:41:00 PM,0.43,0.43,0.4275,0.4275,100
9/14/2018 1:40:00 PM,0.425,0.43,0.4225,0.43,206
9/14/2018 1:39:00 PM,0.415,0.425,0.415,0.425,181
9/14/2018 1:38:00 PM,0.42,0.42,0.415,0.415,100
9/14/2018 1:37:00 PM,0.42,0.42,0.42,0.42,26
9/14/2018 1:36:00 PM,0.415,0.42,0.415,0.42,5
9/14/2018 1:35:00 PM,0.415,0.415,0.415,0.415,21
9/14/2018 1:34:00 PM,0.41,0.415,0.41,0.415,2
9/14/2018 1:33:00 PM,0.41,0.41,0.41,0.41,0
9/14/2018 1:32:00 PM,0.4,0.41,0.4,0.41,144
9/14/2018 1:31:00 PM,0.41,0.41,0.4,0.4,26
9/14/2018 1:30:00 PM,0.4025,0.41,0.4025,0.41,123
9/14/2018 1:29:00 PM,0.4,0.4025,0.4,0.4025,466
9/14/2018 1:28:00 PM,0.3975,0.4,0.395,0.4,113
9/14/2018 1:27:00 PM,0.3975,0.3975,0.3975,0.3975,0
9/14/2018 1:26:00 PM,0.4,0.4,0.3975,0.3975,134
9/14/2018 1:25:00 PM,0.3975,0.4,0.3975,0.4,104
9/14/2018 1:24:00 PM,0.3975,0.3975,0.3975,0.3975,0
9/14/2018 1:23:00 PM,0.3975,0.4025,0.395,0.3975,408
9/14/2018 1:22:00 PM,0.39,0.3975,0.39,0.3975,254
9/14/2018 1:21:00 PM,0.39,0.39,0.39,0.39,0
9/14/2018 1:20:00 PM,0.39,0.39,0.39,0.39,0
9/14/2018 1:19:00 PM,0.39,0.39,0.3875,0.39,27
9/14/2018 1:18:00 PM,0.38,0.39,0.38,0.39,240
9/14/2018 1:17:00 PM,0.38,0.38,0.38,0.38,0
9/14/2018 1:16:00 PM,0.3825,0.3825,0.375,0.38,111
9/14/2018 1:15:00 PM,0.3825,0.3825,0.3825,0.3825,11
9/14/2018 1:14:00 PM,0.385,0.385,0.385,0.385,52
9/14/2018 1:13:00 PM,0.3775,0.385,0.3775,0.385,72
9/14/2018 1:12:00 PM,0.3725,0.3775,0.3725,0.3775,11
9/14/2018 1:11:00 PM,0.3725,0.3725,0.37,0.3725,28
9/14/2018 1:10:00 PM,0.3725,0.3725,0.37,0.3725,302
9/14/2018 1:09:00 PM,0.3675,0.3725,0.3675,0.3725,54
9/14/2018 1:08:00 PM,0.37,0.37,0.365,0.3675,113
9/14/2018 1:07:00 PM,0.36,0.37,0.36,0.37,184
9/14/2018 1:06:00 PM,0.36,0.36,0.355,0.36,616
9/14/2018 1:05:00 PM,0.3675,0.3675,0.3575,0.36,551
9/14/2018 1:04:00 PM,0.365,0.37,0.365,0.3675,154
9/14/2018 1:03:00 PM,0.3675,0.3675,0.365,0.365,775
9/14/2018 1:02:00 PM,0.365,0.3675,0.36,0.3675,1255
9/14/2018 1:01:00 PM,0.38,0.38,0.36,0.365,1952
9/14/2018 1:00:00 PM,0.3825,0.3825,0.3725,0.38,1140
9/14/2018 12:59:00 PM,0.3975,0.4025,0.385,0.385,910
9/14/2018 12:58:00 PM,0.4,0.4,0.395,0.3975,26
9/14/2018 12:57:00 PM,0.395,0.4,0.395,0.4,2
9/14/2018 12:56:00 PM,0.3975,0.3975,0.395,0.395,55
9/14/2018 12:55:00 PM,0.4075,0.4075,0.3975,0.3975,174
9/14/2018 12:54:00 PM,0.41,0.415,0.41,0.41,328
9/14/2018 12:53:00 PM,0.4025,0.41,0.4025,0.41,303
9/14/2018 12:52:00 PM,0.4025,0.4025,0.4025,0.4025,12
9/14/2018 12:51:00 PM,0.41,0.41,0.4025,0.4025,1023
9/14/2018 12:50:00 PM,0.4125,0.4125,0.41,0.4125,278
9/14/2018 12:49:00 PM,0.4175,0.4175,0.4125,0.4125,298
9/14/2018 12:48:00 PM,0.41,0.4175,0.41,0.4175,43
9/14/2018 12:47:00 PM,0.41,0.41,0.41,0.41,0
9/14/2018 12:46:00 PM,0.4025,0.41,0.4025,0.41,11
9/14/2018 12:45:00 PM,0.4025,0.4025,0.4025,0.4025,0
9/14/2018 12:44:00 PM,0.405,0.405,0.4025,0.4025,124
9/14/2018 12:43:00 PM,0.4125,0.415,0.405,0.405,110
9/14/2018 12:42:00 PM,0.4125,0.4125,0.4125,0.4125,70
9/14/2018 12:41:00 PM,0.4075,0.4125,0.4075,0.4125,37
9/14/2018 12:40:00 PM,0.4075,0.41,0.4075,0.4075,187
9/14/2018 12:39:00 PM,0.4175,0.4175,0.4075,0.4075,138
9/14/2018 12:38:00 PM,0.4125,0.4175,0.4075,0.4175,150
9/14/2018 12:37:00 PM,0.4125,0.4125,0.4125,0.4125,12
9/14/2018 12:36:00 PM,0.415,0.4175,0.4125,0.4125,55
9/14/2018 12:35:00 PM,0.4175,0.4175,0.415,0.415,23
9/14/2018 12:34:00 PM,0.4175,0.42,0.415,0.42,276
9/14/2018 12:33:00 PM,0.42,0.42,0.4175,0.4175,1
9/14/2018 12:32:00 PM,0.41,0.42,0.41,0.42,484
9/14/2018 12:31:00 PM,0.41,0.41,0.41,0.41,25
9/14/2018 12:30:00 PM,0.405,0.4125,0.405,0.41,852
9/14/2018 12:29:00 PM,0.4075,0.4075,0.405,0.405,22
9/14/2018 12:28:00 PM,0.405,0.41,0.405,0.4075,31
9/14/2018 12:27:00 PM,0.405,0.4125,0.405,0.405,329
9/14/2018 12:26:00 PM,0.4,0.4075,0.4,0.405,266
9/14/2018 12:25:00 PM,0.3975,0.4,0.395,0.4,525
9/14/2018 12:24:00 PM,0.395,0.3975,0.39,0.3975,521
9/14/2018 12:23:00 PM,0.3925,0.395,0.3925,0.395,129
9/14/2018 12:22:00 PM,0.3925,0.3925,0.39,0.3925,86
9/14/2018 12:21:00 PM,0.3875,0.3925,0.3875,0.3925,128
9/14/2018 12:20:00 PM,0.385,0.3875,0.385,0.3875,201
9/14/2018 12:19:00 PM,0.3775,0.385,0.3775,0.385,792
9/14/2018 12:18:00 PM,0.39,0.39,0.3775,0.3775,941
9/14/2018 12:17:00 PM,0.4025,0.4075,0.39,0.39,723
9/14/2018 12:16:00 PM,0.405,0.405,0.4025,0.4025,151
9/14/2018 12:15:00 PM,0.4025,0.405,0.3975,0.405,240
9/14/2018 12:14:00 PM,0.4025,0.405,0.4025,0.4025,387
9/14/2018 12:13:00 PM,0.3975,0.4025,0.3975,0.4025,1006
9/14/2018 12:12:00 PM,0.4175,0.4175,0.3925,0.3975,2449
9/14/2018 12:11:00 PM,0.4325,0.435,0.41,0.4175,503
9/14/2018 12:10:00 PM,0.44,0.44,0.4325,0.4325,467
9/14/2018 12:09:00 PM,0.4425,0.445,0.44,0.44,256
9/14/2018 12:08:00 PM,0.4425,0.4475,0.4425,0.4425,24
9/14/2018 12:07:00 PM,0.4425,0.45,0.44,0.4425,206
9/14/2018 12:06:00 PM,0.435,0.4425,0.435,0.4425,187
9/14/2018 12:05:00 PM,0.45,0.45,0.4325,0.435,829
9/14/2018 12:04:00 PM,0.46,0.46,0.445,0.45,246
9/14/2018 12:03:00 PM,0.47,0.47,0.465,0.465,100
9/14/2018 12:02:00 PM,0.4725,0.4725,0.4675,0.47,1146
9/14/2018 12:01:00 PM,0.4725,0.4725,0.47,0.4725,52
9/14/2018 12:00:00 PM,0.485,0.485,0.4725,0.4725,125
9/14/2018 11:59:00 AM,0.4875,0.4875,0.485,0.485,1
9/14/2018 11:58:00 AM,0.4875,0.4875,0.4875,0.4875,89
9/14/2018 11:57:00 AM,0.495,0.495,0.4875,0.4875,273
9/14/2018 11:56:00 AM,0.495,0.495,0.495,0.495,0
9/14/2018 11:55:00 AM,0.495,0.495,0.495,0.495,0
9/14/2018 11:54:00 AM,0.495,0.495,0.495,0.495,0
9/14/2018 11:53:00 AM,0.505,0.505,0.495,0.495,231
9/14/2018 11:52:00 AM,0.5125,0.5125,0.505,0.505,37
9/14/2018 11:51:00 AM,0.5125,0.5125,0.5125,0.5125,0
9/14/2018 11:50:00 AM,0.51,0.515,0.51,0.5125,92
9/14/2018 11:49:00 AM,0.51,0.51,0.51,0.51,30
9/14/2018 11:48:00 AM,0.51,0.51,0.51,0.51,110
9/14/2018 11:47:00 AM,0.51,0.51,0.505,0.51,1032
9/14/2018 11:46:00 AM,0.505,0.51,0.505,0.51,267
9/14/2018 11:45:00 AM,0.505,0.505,0.505,0.505,0
9/14/2018 11:44:00 AM,0.5075,0.5075,0.505,0.505,77
9/14/2018 11:43:00 AM,0.495,0.495,0.495,0.495,0
9/14/2018 11:42:00 AM,0.495,0.495,0.495,0.495,1081
9/14/2018 11:41:00 AM,0.495,0.495,0.495,0.495,0
9/14/2018 11:40:00 AM,0.4925,0.495,0.4925,0.495,1000
9/14/2018 11:39:00 AM,0.4925,0.4925,0.4925,0.4925,0
9/14/2018 11:38:00 AM,0.49,0.4925,0.49,0.4925,1101
9/14/2018 11:37:00 AM,0.495,0.495,0.48,0.49,1042
9/14/2018 11:36:00 AM,0.49,0.495,0.49,0.495,68
9/14/2018 11:35:00 AM,0.49,0.49,0.49,0.49,1020
9/14/2018 11:34:00 AM,0.485,0.49,0.485,0.49,35
9/14/2018 11:33:00 AM,0.4825,0.485,0.4825,0.485,36
9/14/2018 11:32:00 AM,0.48,0.485,0.48,0.4825,240
9/14/2018 11:31:00 AM,0.48,0.48,0.48,0.48,0
9/14/2018 11:30:00 AM,0.48,0.48,0.48,0.48,0
9/14/2018 11:29:00 AM,0.4775,0.48,0.4775,0.48,62
9/14/2018 11:28:00 AM,0.48,0.48,0.475,0.4775,82
9/14/2018 11:27:00 AM,0.4725,0.4825,0.4675,0.48,503
9/14/2018 11:26:00 AM,0.4725,0.4725,0.4725,0.4725,0
9/14/2018 11:25:00 AM,0.48,0.48,0.4725,0.4725,20
9/14/2018 11:24:00 AM,0.48,0.48,0.48,0.48,0
9/14/2018 11:23:00 AM,0.4825,0.4825,0.48,0.48,160
9/14/2018 11:22:00 AM,0.485,0.485,0.4825,0.4825,80
9/14/2018 11:21:00 AM,0.485,0.485,0.485,0.485,0
9/14/2018 11:20:00 AM,0.4775,0.485,0.4775,0.485,6
9/14/2018 11:19:00 AM,0.4775,0.4775,0.4775,0.4775,10
9/14/2018 11:18:00 AM,0.4825,0.4825,0.4775,0.4775,100
9/14/2018 11:17:00 AM,0.4825,0.4825,0.4825,0.4825,0
9/14/2018 11:16:00 AM,0.4825,0.4825,0.4825,0.4825,148
9/14/2018 11:15:00 AM,0.4825,0.4825,0.4825,0.4825,80
9/14/2018 11:14:00 AM,0.485,0.485,0.4825,0.4825,41
9/14/2018 11:13:00 AM,0.4975,0.4975,0.485,0.485,176
9/14/2018 11:12:00 AM,0.4975,0.4975,0.4975,0.4975,0
9/14/2018 11:11:00 AM,0.495,0.4975,0.495,0.4975,1080
9/14/2018 11:10:00 AM,0.4925,0.495,0.4925,0.495,220
9/14/2018 11:09:00 AM,0.5025,0.5025,0.4925,0.4925,1160
9/14/2018 11:08:00 AM,0.5025,0.5025,0.5025,0.5025,140
9/14/2018 11:07:00 AM,0.5,0.5025,0.4975,0.5025,714
9/14/2018 11:06:00 AM,0.505,0.505,0.5,0.5,357
9/14/2018 11:05:00 AM,0.5,0.505,0.5,0.505,550
9/14/2018 11:04:00 AM,0.4975,0.5,0.4975,0.5,110
9/14/2018 11:03:00 AM,0.4875,0.4975,0.4875,0.4975,40
9/14/2018 11:02:00 AM,0.4875,0.4875,0.4875,0.4875,0
9/14/2018 11:01:00 AM,0.48,0.4875,0.48,0.4875,130
9/14/2018 11:00:00 AM,0.4725,0.48,0.4725,0.48,25
9/14/2018 10:59:00 AM,0.4725,0.4725,0.4725,0.4725,0
9/14/2018 10:58:00 AM,0.4725,0.4725,0.4725,0.4725,0
9/14/2018 10:57:00 AM,0.48,0.48,0.4725,0.4725,5
9/14/2018 10:56:00 AM,0.48,0.48,0.48,0.48,0
9/14/2018 10:55:00 AM,0.48,0.48,0.48,0.48,0
9/14/2018 10:54:00 AM,0.4775,0.48,0.4775,0.48,40
9/14/2018 10:53:00 AM,0.4825,0.4825,0.4775,0.4775,130
9/14/2018 10:52:00 AM,0.485,0.485,0.48,0.4825,1081
9/14/2018 10:51:00 AM,0.485,0.485,0.485,0.485,120
9/14/2018 10:50:00 AM,0.5,0.5,0.485,0.485,950
9/14/2018 10:49:00 AM,0.5025,0.5025,0.5,0.5,1
9/14/2018 10:48:00 AM,0.5,0.5025,0.5,0.5025,120
9/14/2018 10:47:00 AM,0.4975,0.5025,0.4975,0.5,517
9/14/2018 10:46:00 AM,0.48,0.495,0.48,0.495,470
9/14/2018 10:45:00 AM,0.48,0.48,0.48,0.48,0
9/14/2018 10:44:00 AM,0.48,0.48,0.48,0.48,101
9/14/2018 10:43:00 AM,0.48,0.48,0.48,0.48,25
