Date,USDINR18SEP71CE O,USDINR18SEP71CE H,USDINR18SEP71CE L,USDINR18SEP71CE C,USDINR18SEP71CE V
9/14/2018 4:59:00 PM,1.075,1.075,1.075,1.075,0
9/14/2018 4:58:00 PM,1.075,1.075,1.075,1.075,0
9/14/2018 4:57:00 PM,1.075,1.075,1.075,1.075,0
9/14/2018 4:56:00 PM,1.1,1.1,1.075,1.075,177
9/14/2018 4:55:00 PM,1.1,1.1,1.1,1.1,0
9/14/2018 4:54:00 PM,1.1,1.1,1.1,1.1,0
9/14/2018 4:53:00 PM,1.1,1.1,1.1,1.1,0
9/14/2018 4:52:00 PM,1.1,1.1,1.1,1.1,0
9/14/2018 4:51:00 PM,1.1,1.1,1.1,1.1,0
9/14/2018 4:50:00 PM,1.1,1.1,1.1,1.1,0
9/14/2018 4:49:00 PM,1.0825,1.1,1.0825,1.1,50
9/14/2018 4:48:00 PM,1.0825,1.0825,1.0825,1.0825,0
9/14/2018 4:47:00 PM,1.0825,1.0825,1.0825,1.0825,0
9/14/2018 4:46:00 PM,1.0825,1.0825,1.0825,1.0825,0
9/14/2018 4:45:00 PM,1.0825,1.0825,1.0825,1.0825,0
9/14/2018 4:44:00 PM,1.0775,1.0825,1.0775,1.0825,2
9/14/2018 4:43:00 PM,1.045,1.0775,1.045,1.0775,5
9/14/2018 4:42:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:41:00 PM,1.045,1.045,1.045,1.045,8
9/14/2018 4:40:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:39:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:38:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:37:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:36:00 PM,1.045,1.045,1.045,1.045,1
9/14/2018 4:35:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:34:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:33:00 PM,1.03,1.045,1.03,1.045,20
9/14/2018 4:32:00 PM,1.03,1.03,1.03,1.03,0
9/14/2018 4:31:00 PM,1.03,1.03,1.03,1.03,0
9/14/2018 4:30:00 PM,1.03,1.03,1.03,1.03,0
9/14/2018 4:29:00 PM,1.03,1.03,1.03,1.03,0
9/14/2018 4:28:00 PM,1.0625,1.0625,1.02,1.03,113
9/14/2018 4:27:00 PM,1.0625,1.0625,1.0625,1.0625,0
9/14/2018 4:26:00 PM,1.06,1.0625,1.06,1.0625,1
9/14/2018 4:25:00 PM,1.045,1.06,1.045,1.06,20
9/14/2018 4:24:00 PM,1.045,1.045,1.045,1.045,0
9/14/2018 4:23:00 PM,1.05,1.05,1.045,1.045,78
9/14/2018 4:22:00 PM,1.05,1.05,1.05,1.05,0
9/14/2018 4:21:00 PM,1.065,1.065,1.05,1.05,423
9/14/2018 4:20:00 PM,1.0725,1.0775,1.065,1.065,817
9/14/2018 4:19:00 PM,1.0675,1.08,1.065,1.0725,1143
9/14/2018 4:18:00 PM,1.095,1.095,1.0575,1.0675,1820
9/14/2018 4:17:00 PM,1.0925,1.095,1.0925,1.095,208
9/14/2018 4:16:00 PM,1.125,1.125,1.0925,1.0925,400
9/14/2018 4:15:00 PM,1.125,1.125,1.125,1.125,0
9/14/2018 4:14:00 PM,1.1325,1.1325,1.125,1.125,8
9/14/2018 4:13:00 PM,1.13,1.14,1.13,1.1325,476
9/14/2018 4:12:00 PM,1.115,1.13,1.115,1.13,1196
9/14/2018 4:11:00 PM,1.1075,1.115,1.1075,1.115,200
9/14/2018 4:10:00 PM,1.1075,1.1075,1.1075,1.1075,0
9/14/2018 4:09:00 PM,1.1075,1.1075,1.1075,1.1075,0
9/14/2018 4:08:00 PM,1.1075,1.1075,1.1075,1.1075,0
9/14/2018 4:07:00 PM,1.1075,1.1075,1.1075,1.1075,0
9/14/2018 4:06:00 PM,1.1075,1.1075,1.1075,1.1075,0
9/14/2018 4:05:00 PM,1.1075,1.1075,1.1075,1.1075,929
9/14/2018 4:04:00 PM,1.1075,1.1075,1.1075,1.1075,1272
9/14/2018 4:03:00 PM,1.135,1.135,1.0975,1.0975,2101
9/14/2018 4:02:00 PM,1.135,1.135,1.135,1.135,0
9/14/2018 4:01:00 PM,1.135,1.135,1.135,1.135,0
9/14/2018 4:00:00 PM,1.1175,1.135,1.1175,1.135,10
