Date,USDINR18SEP72PE O,USDINR18SEP72PE H,USDINR18SEP72PE L,USDINR18SEP72PE C,USDINR18SEP72PE V
9/14/2018 4:59:00 PM,0.46,0.465,0.45,0.45,835
9/14/2018 4:58:00 PM,0.4475,0.46,0.4475,0.46,2182
9/14/2018 4:57:00 PM,0.4475,0.4475,0.445,0.4475,250
9/14/2018 4:56:00 PM,0.4475,0.4475,0.4475,0.4475,81
9/14/2018 4:55:00 PM,0.4525,0.4525,0.4425,0.4475,815
9/14/2018 4:54:00 PM,0.4475,0.4525,0.4475,0.4525,714
9/14/2018 4:53:00 PM,0.4425,0.4475,0.4425,0.4475,201
9/14/2018 4:52:00 PM,0.45,0.45,0.4425,0.4425,101
9/14/2018 4:51:00 PM,0.4425,0.45,0.4425,0.45,703
9/14/2018 4:50:00 PM,0.4325,0.4425,0.4325,0.4425,1559
9/14/2018 4:49:00 PM,0.44,0.44,0.4325,0.4325,113
9/14/2018 4:48:00 PM,0.44,0.44,0.44,0.44,100
9/14/2018 4:47:00 PM,0.45,0.45,0.44,0.44,206
9/14/2018 4:46:00 PM,0.4475,0.45,0.4475,0.45,200
9/14/2018 4:45:00 PM,0.445,0.45,0.445,0.4475,27
9/14/2018 4:44:00 PM,0.45,0.45,0.445,0.445,10
9/14/2018 4:43:00 PM,0.46,0.46,0.45,0.45,600
9/14/2018 4:42:00 PM,0.465,0.465,0.455,0.46,1627
9/14/2018 4:41:00 PM,0.4725,0.4725,0.4625,0.465,318
9/14/2018 4:40:00 PM,0.47,0.4725,0.47,0.4725,1759
9/14/2018 4:39:00 PM,0.4725,0.4725,0.47,0.47,406
9/14/2018 4:38:00 PM,0.475,0.4775,0.4725,0.4725,141
9/14/2018 4:37:00 PM,0.475,0.475,0.47,0.475,295
9/14/2018 4:36:00 PM,0.47,0.4775,0.47,0.475,15
9/14/2018 4:35:00 PM,0.465,0.47,0.465,0.47,63
9/14/2018 4:34:00 PM,0.47,0.47,0.465,0.465,20
9/14/2018 4:33:00 PM,0.4625,0.47,0.46,0.47,1127
9/14/2018 4:32:00 PM,0.46,0.47,0.46,0.4625,272
9/14/2018 4:31:00 PM,0.4575,0.46,0.4525,0.46,170
9/14/2018 4:30:00 PM,0.4675,0.47,0.4575,0.4575,1128
9/14/2018 4:29:00 PM,0.4725,0.4775,0.4675,0.4675,1420
9/14/2018 4:28:00 PM,0.47,0.475,0.47,0.4725,728
9/14/2018 4:27:00 PM,0.4475,0.47,0.4475,0.47,1628
9/14/2018 4:26:00 PM,0.4575,0.4575,0.4475,0.4475,292
9/14/2018 4:25:00 PM,0.4525,0.4575,0.445,0.4575,632
9/14/2018 4:24:00 PM,0.45,0.4525,0.45,0.4525,2104
9/14/2018 4:23:00 PM,0.455,0.46,0.45,0.45,1645
9/14/2018 4:22:00 PM,0.45,0.455,0.4475,0.455,678
9/14/2018 4:21:00 PM,0.445,0.45,0.445,0.45,575
9/14/2018 4:20:00 PM,0.4475,0.4475,0.4375,0.445,334
9/14/2018 4:19:00 PM,0.44,0.4475,0.44,0.4475,1120
9/14/2018 4:18:00 PM,0.43,0.455,0.43,0.44,1533
9/14/2018 4:17:00 PM,0.43,0.43,0.43,0.43,83
9/14/2018 4:16:00 PM,0.4225,0.43,0.4225,0.43,583
9/14/2018 4:15:00 PM,0.4175,0.425,0.4175,0.4225,1037
9/14/2018 4:14:00 PM,0.4125,0.4175,0.4125,0.4175,202
9/14/2018 4:13:00 PM,0.4075,0.4125,0.405,0.4125,4573
9/14/2018 4:12:00 PM,0.4175,0.4175,0.4075,0.4075,4970
9/14/2018 4:11:00 PM,0.43,0.43,0.4175,0.4175,613
9/14/2018 4:10:00 PM,0.435,0.435,0.43,0.43,453
9/14/2018 4:09:00 PM,0.4375,0.44,0.435,0.435,118
9/14/2018 4:08:00 PM,0.44,0.4425,0.4375,0.4375,810
9/14/2018 4:07:00 PM,0.435,0.44,0.435,0.44,1646
9/14/2018 4:06:00 PM,0.43,0.435,0.43,0.435,203
9/14/2018 4:05:00 PM,0.44,0.44,0.43,0.43,40
9/14/2018 4:04:00 PM,0.4375,0.44,0.435,0.44,4420
9/14/2018 4:03:00 PM,0.445,0.45,0.4375,0.4375,6563
9/14/2018 4:02:00 PM,0.44,0.445,0.44,0.445,2806
9/14/2018 4:01:00 PM,0.4275,0.44,0.4275,0.44,2130
9/14/2018 4:00:00 PM,0.4225,0.4275,0.42,0.4275,175
9/14/2018 3:59:00 PM,0.425,0.425,0.4225,0.4225,1119
9/14/2018 3:58:00 PM,0.43,0.43,0.425,0.425,68
9/14/2018 3:57:00 PM,0.4325,0.435,0.43,0.43,209
9/14/2018 3:56:00 PM,0.4325,0.435,0.4325,0.4325,20
9/14/2018 3:55:00 PM,0.43,0.435,0.43,0.4325,133
