Date,USDINR18SEPFUT O,USDINR18SEPFUT H,USDINR18SEPFUT L,USDINR18SEPFUT C,USDINR18SEPFUT V
9/14/2018 4:59:00 PM,71.955,71.955,71.94,71.945,13909
9/14/2018 4:58:00 PM,71.96,71.9675,71.9525,71.9525,6887
9/14/2018 4:57:00 PM,71.965,71.9675,71.96,71.9625,5887
9/14/2018 4:56:00 PM,71.965,71.97,71.96,71.9625,3572
9/14/2018 4:55:00 PM,71.9575,71.9675,71.955,71.965,5003
9/14/2018 4:54:00 PM,71.96,71.9625,71.9525,71.9575,6736
9/14/2018 4:53:00 PM,71.9775,71.9775,71.9575,71.96,9068
9/14/2018 4:52:00 PM,71.9625,71.9775,71.96,71.9725,2952
9/14/2018 4:51:00 PM,71.9725,71.9725,71.9575,71.96,3669
9/14/2018 4:50:00 PM,71.99,71.99,71.9675,71.97,9392
9/14/2018 4:49:00 PM,71.9775,71.9925,71.9775,71.99,7126
9/14/2018 4:48:00 PM,71.975,71.98,71.97,71.9775,2512
9/14/2018 4:47:00 PM,71.96,71.98,71.96,71.9775,5570
9/14/2018 4:46:00 PM,71.96,71.965,71.9525,71.96,5233
9/14/2018 4:45:00 PM,71.9625,71.965,71.955,71.96,3927
9/14/2018 4:44:00 PM,71.9575,71.965,71.9525,71.9625,3955
9/14/2018 4:43:00 PM,71.9325,71.9625,71.9325,71.9575,4791
9/14/2018 4:42:00 PM,71.925,71.9475,71.9225,71.9325,2909
9/14/2018 4:41:00 PM,71.925,71.9325,71.9175,71.93,5413
9/14/2018 4:40:00 PM,71.92,71.9225,71.915,71.9225,4711
9/14/2018 4:39:00 PM,71.9125,71.92,71.9125,71.92,3655
9/14/2018 4:38:00 PM,71.9075,71.9125,71.9,71.9125,2740
9/14/2018 4:37:00 PM,71.9175,71.9175,71.9075,71.91,1566
9/14/2018 4:36:00 PM,71.9025,71.9225,71.9025,71.92,5031
9/14/2018 4:35:00 PM,71.925,71.93,71.9025,71.9025,4327
9/14/2018 4:34:00 PM,71.92,71.93,71.915,71.925,3620
9/14/2018 4:33:00 PM,71.9225,71.935,71.9175,71.92,2859
9/14/2018 4:32:00 PM,71.935,71.935,71.9175,71.9225,6549
9/14/2018 4:31:00 PM,71.935,71.9425,71.9325,71.935,5036
9/14/2018 4:30:00 PM,71.92,71.935,71.9125,71.935,3577
9/14/2018 4:29:00 PM,71.905,71.92,71.895,71.9175,5392
9/14/2018 4:28:00 PM,71.9175,71.9175,71.895,71.9025,12350
9/14/2018 4:27:00 PM,71.95,71.9525,71.9075,71.9175,10411
9/14/2018 4:26:00 PM,71.9425,71.96,71.9425,71.95,2603
9/14/2018 4:25:00 PM,71.9525,71.96,71.93,71.945,3790
9/14/2018 4:24:00 PM,71.945,71.95,71.94,71.9475,3499
9/14/2018 4:23:00 PM,71.9325,71.945,71.925,71.945,5627
9/14/2018 4:22:00 PM,71.9425,71.95,71.925,71.93,5196
9/14/2018 4:21:00 PM,71.955,71.955,71.935,71.9425,7122
9/14/2018 4:20:00 PM,71.9575,71.9675,71.95,71.955,3063
9/14/2018 4:19:00 PM,71.9625,71.9675,71.945,71.955,4666
9/14/2018 4:18:00 PM,71.99,71.99,71.935,71.9625,18165
9/14/2018 4:17:00 PM,71.9825,71.9975,71.9825,71.99,1528
9/14/2018 4:16:00 PM,72.0075,72.0075,71.9825,71.985,6330
9/14/2018 4:15:00 PM,72.01,72.015,72,72.0075,2705
9/14/2018 4:14:00 PM,72.0275,72.03,72.01,72.01,3951
9/14/2018 4:13:00 PM,72.04,72.0475,72.0275,72.0275,9192
9/14/2018 4:12:00 PM,72.0225,72.04,72.02,72.0375,10799
