Date,WIPRO-EQ O,WIPRO-EQ H,WIPRO-EQ L,WIPRO-EQ C,WIPRO-EQ V
9/14/2018 3:29:00 PM,332.9,332.9,332.25,332.6,10584
9/14/2018 3:28:00 PM,332.85,332.9,332.7,332.9,32173
9/14/2018 3:27:00 PM,332.7,333,332.65,332.85,26855
9/14/2018 3:26:00 PM,332.55,332.7,332.5,332.65,22470
9/14/2018 3:25:00 PM,332.45,332.65,332.35,332.55,20421
9/14/2018 3:24:00 PM,332.15,332.45,332.05,332.45,15152
9/14/2018 3:23:00 PM,332.2,332.5,331.65,331.95,32227
9/14/2018 3:22:00 PM,332.2,332.45,332.15,332.15,17411
9/14/2018 3:21:00 PM,332.2,332.3,331.85,332.2,23035
9/14/2018 3:20:00 PM,332.25,332.4,332.1,332.2,26303
9/14/2018 3:19:00 PM,331.7,332.25,331.65,332.2,24958
9/14/2018 3:18:00 PM,331.4,331.8,331.3,331.7,19690
9/14/2018 3:17:00 PM,331.7,331.75,331.1,331.4,17864
9/14/2018 3:16:00 PM,330.95,331.9,330.75,331.7,59180
9/14/2018 3:15:00 PM,330.3,330.95,330.2,330.95,32526
9/14/2018 3:14:00 PM,330.35,330.5,330.3,330.35,15398
9/14/2018 3:13:00 PM,330.75,330.85,330.25,330.4,26145
9/14/2018 3:12:00 PM,329.8,330.75,329.55,330.7,21316
9/14/2018 3:11:00 PM,330.2,330.35,329.7,329.8,21091
9/14/2018 3:10:00 PM,329.75,330.8,329.75,330,80162
9/14/2018 3:09:00 PM,328.7,329.9,328.7,329.75,41423
9/14/2018 3:08:00 PM,327.5,328.7,327.45,328.65,42988
9/14/2018 3:07:00 PM,327.45,327.5,327.45,327.5,20425
9/14/2018 3:06:00 PM,327.5,327.5,327.45,327.5,13410
9/14/2018 3:05:00 PM,327.3,327.55,327.3,327.5,13208
9/14/2018 3:04:00 PM,327.45,327.5,327.25,327.45,28210
9/14/2018 3:03:00 PM,327.45,327.5,327.45,327.5,17932
9/14/2018 3:02:00 PM,327.5,327.5,327.45,327.45,20231
9/14/2018 3:01:00 PM,327.5,327.5,327.45,327.5,33930
9/14/2018 3:00:00 PM,327.45,327.5,327.45,327.5,48442
9/14/2018 2:59:00 PM,327.5,327.5,327.45,327.5,5239
9/14/2018 2:58:00 PM,327.5,327.55,327.35,327.5,21759
9/14/2018 2:57:00 PM,327.5,327.5,327.45,327.5,11279
9/14/2018 2:56:00 PM,327.5,327.5,327.45,327.5,3173
9/14/2018 2:55:00 PM,327.5,327.5,327.45,327.5,5434
9/14/2018 2:54:00 PM,327.5,327.5,327.45,327.5,5224
9/14/2018 2:53:00 PM,327.5,327.5,327.45,327.45,4961
9/14/2018 2:52:00 PM,327.35,327.5,327.35,327.5,5162
9/14/2018 2:51:00 PM,327.3,327.45,327.25,327.4,2696
9/14/2018 2:50:00 PM,327.35,327.45,327.15,327.3,7760
9/14/2018 2:49:00 PM,327.25,327.5,327.25,327.35,9173
9/14/2018 2:48:00 PM,327.5,327.5,327.1,327.25,7507
9/14/2018 2:47:00 PM,327.5,327.5,327.45,327.5,6656
9/14/2018 2:46:00 PM,327.5,327.5,327.45,327.5,4071
9/14/2018 2:45:00 PM,327.5,327.55,327.45,327.5,5255
9/14/2018 2:44:00 PM,327.5,327.5,327.45,327.5,3108
9/14/2018 2:43:00 PM,327.5,327.5,327.45,327.5,8546
9/14/2018 2:42:00 PM,327.5,327.6,327.45,327.5,20555
9/14/2018 2:41:00 PM,327.5,327.55,327.45,327.55,21414
9/14/2018 2:40:00 PM,327.5,327.5,327.45,327.5,7060
9/14/2018 2:39:00 PM,327.5,327.5,327.45,327.5,4613
9/14/2018 2:38:00 PM,327.45,327.5,327.45,327.5,5419
9/14/2018 2:37:00 PM,327.15,327.5,327.15,327.45,2511
9/14/2018 2:36:00 PM,327.1,327.3,327,327.15,5177
9/14/2018 2:35:00 PM,327.3,327.45,327,327.2,28452
9/14/2018 2:34:00 PM,327.5,327.5,327.3,327.5,22160
9/14/2018 2:33:00 PM,327.5,327.5,327.45,327.5,7387
9/14/2018 2:32:00 PM,327.5,327.5,327.45,327.5,3176
9/14/2018 2:31:00 PM,327.45,327.5,327.45,327.5,4434
9/14/2018 2:30:00 PM,327.5,327.5,327.35,327.4,5849
9/14/2018 2:29:00 PM,327.5,327.5,327.45,327.5,3099
9/14/2018 2:28:00 PM,327.5,327.5,327.45,327.5,6473
9/14/2018 2:27:00 PM,327.5,327.5,327.45,327.5,5543
9/14/2018 2:26:00 PM,327.5,327.55,327.45,327.55,4539
9/14/2018 2:25:00 PM,327.5,327.5,327.45,327.5,5298
9/14/2018 2:24:00 PM,327.5,327.5,327.45,327.5,6570
9/14/2018 2:23:00 PM,327.5,327.5,327.45,327.5,3006
9/14/2018 2:22:00 PM,327.45,327.5,327.45,327.5,3623
9/14/2018 2:21:00 PM,327.4,327.5,327.35,327.5,4947
9/14/2018 2:20:00 PM,327.4,327.45,327.3,327.4,3460
9/14/2018 2:19:00 PM,327.5,327.5,327.3,327.45,4820
9/14/2018 2:18:00 PM,327.5,327.5,327.4,327.5,6205
9/14/2018 2:17:00 PM,327.5,327.5,327.45,327.45,6420
9/14/2018 2:16:00 PM,327.5,327.5,327.45,327.5,3020
9/14/2018 2:15:00 PM,327.5,327.5,327.45,327.5,4468
9/14/2018 2:14:00 PM,327.4,327.5,327.3,327.5,3994
9/14/2018 2:13:00 PM,327.5,327.5,327.35,327.4,6826
9/14/2018 2:12:00 PM,327.5,327.5,327.45,327.5,4346
9/14/2018 2:11:00 PM,327.5,327.55,327.45,327.5,4437
9/14/2018 2:10:00 PM,327.5,327.55,327.45,327.5,6870
9/14/2018 2:09:00 PM,327.5,327.5,327.45,327.5,5766
9/14/2018 2:08:00 PM,327.5,327.55,327.45,327.55,5918
9/14/2018 2:07:00 PM,327.5,327.55,327.45,327.55,2920
9/14/2018 2:06:00 PM,327.5,327.5,327.45,327.5,16798
9/14/2018 2:05:00 PM,327.5,327.5,327.35,327.5,5739
9/14/2018 2:04:00 PM,327.5,327.5,327.45,327.5,3985
9/14/2018 2:03:00 PM,327.45,327.5,327.3,327.5,4539
9/14/2018 2:02:00 PM,327.5,327.5,327.35,327.45,6045
9/14/2018 2:01:00 PM,327.5,327.5,327.45,327.5,3746
9/14/2018 2:00:00 PM,327.45,327.45,327.25,327.35,4042
9/14/2018 1:59:00 PM,327.25,327.45,327.25,327.45,8763
9/14/2018 1:58:00 PM,327.25,327.25,327.2,327.25,7763
9/14/2018 1:57:00 PM,327.5,327.5,327.25,327.25,4206
9/14/2018 1:56:00 PM,327.5,327.5,327.45,327.5,65563
9/14/2018 1:55:00 PM,327.5,327.5,327.45,327.5,16920
9/14/2018 1:54:00 PM,327.5,327.5,327.45,327.5,5960
9/14/2018 1:53:00 PM,327.5,327.5,327.5,327.5,6270
9/14/2018 1:52:00 PM,327.5,327.5,327.45,327.5,3649
9/14/2018 1:51:00 PM,327.5,327.5,327.45,327.5,9514
9/14/2018 1:50:00 PM,327.5,327.5,327.45,327.45,5726
9/14/2018 1:49:00 PM,327.5,327.5,327.45,327.5,4792
9/14/2018 1:48:00 PM,327.35,327.5,327.35,327.45,2970
9/14/2018 1:47:00 PM,327.35,327.45,327.15,327.4,4301
9/14/2018 1:46:00 PM,327.3,327.35,327.15,327.3,5091
9/14/2018 1:45:00 PM,327.4,327.5,327.35,327.4,6715
9/14/2018 1:44:00 PM,327.45,327.45,327.35,327.4,4302
