Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C,YESBANK-EQ V
9/14/2018 3:29:00 PM,322.1,322.4,321.8,322.4,71848
9/14/2018 3:28:00 PM,321.95,322.1,321.85,321.95,70816
9/14/2018 3:27:00 PM,321.95,322,321.75,322,75546
9/14/2018 3:26:00 PM,321.85,322.1,321.8,321.95,136475
9/14/2018 3:25:00 PM,322.2,322.25,321.85,321.85,112169
9/14/2018 3:24:00 PM,322.45,322.5,322,322.25,272893
9/14/2018 3:23:00 PM,322.15,322.5,322.05,322.2,231461
9/14/2018 3:22:00 PM,322.55,322.55,322.05,322.15,158559
9/14/2018 3:21:00 PM,322.4,322.85,322.1,322.45,216939
9/14/2018 3:20:00 PM,323.4,323.4,322.05,322.6,332198
9/14/2018 3:19:00 PM,323.3,323.4,323.15,323.3,107863
9/14/2018 3:18:00 PM,323.55,323.7,323.25,323.3,149421
9/14/2018 3:17:00 PM,323.65,323.75,323.2,323.7,136749
9/14/2018 3:16:00 PM,323.1,323.7,323.1,323.65,200674
9/14/2018 3:15:00 PM,323.6,323.75,323.15,323.15,253855
9/14/2018 3:14:00 PM,323.4,323.6,323.2,323.5,100540
9/14/2018 3:13:00 PM,323.2,323.4,323.1,323.35,77126
9/14/2018 3:12:00 PM,323.25,323.4,323.05,323.2,162359
9/14/2018 3:11:00 PM,323.4,323.4,323.05,323.3,81054
9/14/2018 3:10:00 PM,323.35,323.5,323.1,323.4,123782
9/14/2018 3:09:00 PM,323.8,324,323.35,323.35,129552
9/14/2018 3:08:00 PM,323.75,324,323.6,323.8,46150
9/14/2018 3:07:00 PM,324.45,324.45,323.65,323.65,116645
9/14/2018 3:06:00 PM,324.6,324.65,324.2,324.35,82294
9/14/2018 3:05:00 PM,325,325.2,324.5,324.8,118371
9/14/2018 3:04:00 PM,324.4,325.25,324.4,325.1,172167
9/14/2018 3:03:00 PM,324.1,324.5,324.05,324.45,81117
9/14/2018 3:02:00 PM,323.6,324.1,323.4,324.1,90359
9/14/2018 3:01:00 PM,323.3,323.7,323.25,323.55,110265
9/14/2018 3:00:00 PM,323.05,323.4,323.05,323.35,49688
9/14/2018 2:59:00 PM,323.1,323.2,323,323.1,26727
9/14/2018 2:58:00 PM,323.1,323.4,323,323.15,73840
9/14/2018 2:57:00 PM,322.9,323.3,322.85,323.15,62433
9/14/2018 2:56:00 PM,323.15,323.15,323,323,36875
9/14/2018 2:55:00 PM,323.15,323.15,322.9,323.1,84619
9/14/2018 2:54:00 PM,323.55,323.65,323.05,323.15,81335
9/14/2018 2:53:00 PM,323.55,323.75,323.4,323.55,22124
