Date,ZEEL-EQ O,ZEEL-EQ H,ZEEL-EQ L,ZEEL-EQ C,ZEEL-EQ V
9/14/2018 3:29:00 PM,471.9,471.9,470.7,471,7659
9/14/2018 3:28:00 PM,471.95,472,471.8,471.8,10588
9/14/2018 3:27:00 PM,472,472.05,471.95,471.95,26604
9/14/2018 3:26:00 PM,471.85,472,471.85,471.95,4445
9/14/2018 3:25:00 PM,471.95,472,471.85,471.9,13354
9/14/2018 3:24:00 PM,471.75,472,471.75,471.95,5636
9/14/2018 3:23:00 PM,471.65,472,471.65,471.75,8802
9/14/2018 3:22:00 PM,472,472.1,471.8,471.95,13769
9/14/2018 3:21:00 PM,472,472,471.85,472,12596
9/14/2018 3:20:00 PM,471.4,472,471.4,472,10966
9/14/2018 3:19:00 PM,471.6,472,471.4,471.4,5530
9/14/2018 3:18:00 PM,471.4,471.85,471.4,471.7,9132
9/14/2018 3:17:00 PM,472.05,472.1,471.4,471.4,6777
9/14/2018 3:16:00 PM,472.2,472.4,472.15,472.15,14913
9/14/2018 3:15:00 PM,471.9,472.2,471.85,472.15,22231
9/14/2018 3:14:00 PM,472.2,472.2,471.85,471.9,11243
9/14/2018 3:13:00 PM,472.35,472.45,472.2,472.2,3622
9/14/2018 3:12:00 PM,472.35,472.4,472.25,472.35,7993
9/14/2018 3:11:00 PM,472.25,472.5,472.25,472.35,7587
9/14/2018 3:10:00 PM,472.5,472.6,472.25,472.25,5020
9/14/2018 3:09:00 PM,472.85,472.85,472.6,472.6,5837
9/14/2018 3:08:00 PM,472.85,472.95,472.85,472.85,5704
9/14/2018 3:07:00 PM,472.85,473,472.85,472.85,10830
9/14/2018 3:06:00 PM,472.75,472.9,472.7,472.85,6013
9/14/2018 3:05:00 PM,472.5,472.7,472.45,472.7,4634
9/14/2018 3:04:00 PM,472.45,472.55,472.45,472.5,5062
9/14/2018 3:03:00 PM,471.95,472.5,471.95,472.45,7393
9/14/2018 3:02:00 PM,471.6,472,471.6,471.95,8660
9/14/2018 3:01:00 PM,471.8,471.8,471.3,471.5,4737
9/14/2018 3:00:00 PM,470.1,471.9,470,471.8,13356
9/14/2018 2:59:00 PM,470.35,470.6,470,470.1,5384
9/14/2018 2:58:00 PM,470.6,470.75,469.85,470.35,11670
9/14/2018 2:57:00 PM,470.8,471,470.55,470.6,6403
9/14/2018 2:56:00 PM,471.35,471.55,470.9,470.9,6850
9/14/2018 2:55:00 PM,471.3,471.95,471,471.6,6458
9/14/2018 2:54:00 PM,471.35,471.4,471.25,471.3,2490
9/14/2018 2:53:00 PM,471.2,471.5,471.1,471.35,2064
9/14/2018 2:52:00 PM,470.6,471.55,470.6,471.2,6952
9/14/2018 2:51:00 PM,471.75,471.8,470.7,470.7,9210
9/14/2018 2:50:00 PM,472.05,472.1,471.6,471.75,2681
9/14/2018 2:49:00 PM,472.15,472.3,472,472,5818
9/14/2018 2:48:00 PM,472.1,472.25,472.1,472.15,3206
9/14/2018 2:47:00 PM,472.45,472.45,472,472.1,2976
9/14/2018 2:46:00 PM,472.65,472.75,472.45,472.45,6336
9/14/2018 2:45:00 PM,473,473.15,472.35,472.4,9497
9/14/2018 2:44:00 PM,473.15,473.2,473,473,10532
9/14/2018 2:43:00 PM,472.85,473.25,472.8,473.15,9990
9/14/2018 2:42:00 PM,472.65,472.95,472.65,472.85,3550
9/14/2018 2:41:00 PM,472.55,472.8,472.55,472.65,3507
9/14/2018 2:40:00 PM,472.3,472.75,472.25,472.55,9608
9/14/2018 2:39:00 PM,472,472.3,472,472.3,5423
9/14/2018 2:38:00 PM,471.75,472,471.75,472,3143
9/14/2018 2:37:00 PM,472.2,472.2,471.75,471.75,5594
9/14/2018 2:36:00 PM,471.65,472.25,471.65,472.2,10769
9/14/2018 2:35:00 PM,471.65,471.65,471.55,471.65,4348
9/14/2018 2:34:00 PM,471.7,471.7,471.5,471.65,3018
9/14/2018 2:33:00 PM,471.5,471.95,471.5,471.7,5379
9/14/2018 2:32:00 PM,471.55,472.05,471.5,471.5,16827
9/14/2018 2:31:00 PM,471.1,471.7,471,471.55,6092
9/14/2018 2:30:00 PM,470.95,471.1,470.8,471.1,4200
9/14/2018 2:29:00 PM,471.25,471.25,470.8,470.95,1936
