Date,BANKNIFTY06SEP1826800CE O,BANKNIFTY06SEP1826800CE H,BANKNIFTY06SEP1826800CE L,BANKNIFTY06SEP1826800CE C,BANKNIFTY06SEP1826800CE V
9/6/2018 3:15:00 PM,690,690,665,669.4,280
9/6/2018 2:15:00 PM,616.2,711.9,616.2,690,160
9/6/2018 1:15:00 PM,613,616.2,537.7,616.2,80
9/6/2018 12:15:00 PM,613,613,613,613,0
9/6/2018 11:15:00 AM,620.35,622.95,607.05,613,600
9/6/2018 10:15:00 AM,577.9,620.35,577.9,620.35,40
9/6/2018 9:15:00 AM,557.15,647.7,557.15,577.9,560
9/5/2018 3:15:00 PM,620,620,595,595,480
9/5/2018 2:15:00 PM,404,620,404,620,760
9/5/2018 1:15:00 PM,465.55,465.55,395,404,640
9/5/2018 12:15:00 PM,444,465.55,437.2,465.55,120
9/4/2018 3:15:00 PM,820,820,820,820,0
9/4/2018 2:15:00 PM,820,820,820,820,0
9/4/2018 1:15:00 PM,816.65,820,816.65,820,40
9/4/2018 12:15:00 PM,816.65,816.65,816.65,816.65,0
9/4/2018 11:15:00 AM,816.65,816.65,816.65,816.65,0
9/4/2018 10:15:00 AM,816.65,816.65,816.65,816.65,40
8/31/2018 3:15:00 PM,1201.1,1201.1,1201.1,1201.1,0
8/31/2018 2:15:00 PM,1201.1,1201.1,1201.1,1201.1,0
8/31/2018 1:15:00 PM,1201.1,1201.1,1201.1,1201.1,0
8/31/2018 12:15:00 PM,1201.1,1201.1,1201.1,1201.1,0
8/31/2018 11:15:00 AM,1201.1,1201.1,1201.1,1201.1,0
8/31/2018 10:15:00 AM,1201.1,1201.1,1201.1,1201.1,0
8/31/2018 9:15:00 AM,1201.1,1201.1,1201.1,1201.1,40
