Date,BANKNIFTY06SEP1827400PE O,BANKNIFTY06SEP1827400PE H,BANKNIFTY06SEP1827400PE L,BANKNIFTY06SEP1827400PE C,BANKNIFTY06SEP1827400PE V
9/6/2018 3:15:00 PM,0.3,0.85,0.05,0.05,2571040
9/6/2018 2:15:00 PM,12.75,15.35,0.2,0.35,19459960
9/6/2018 1:15:00 PM,83.2,94.7,11.7,12.85,12608000
9/6/2018 12:15:00 PM,47.1,124,35.75,81.55,7581640
9/6/2018 11:15:00 AM,31.15,63.45,29.1,47.25,6616000
9/6/2018 10:15:00 AM,49.85,54.95,26.85,31.2,5347560
9/6/2018 9:15:00 AM,54.6,111.25,30.95,49.35,9217000
9/5/2018 3:15:00 PM,76.85,84.85,60.3,84,1067560
9/5/2018 2:15:00 PM,216.15,216.15,71.7,76.75,2571880
9/5/2018 1:15:00 PM,173.45,230.9,162.25,216.15,821720
9/5/2018 12:15:00 PM,147.65,227.3,145.1,174.05,2080480
9/5/2018 11:15:00 AM,92.2,155.9,89.5,146.65,3226600
9/5/2018 10:15:00 AM,81.2,98,77.05,92.75,2017240
9/5/2018 9:15:00 AM,81.35,111.75,56.45,81.2,5459960
9/4/2018 3:15:00 PM,82.55,85.7,63.05,74.25,899240
9/4/2018 2:15:00 PM,60.2,103.75,56.7,82.65,4255320
9/4/2018 1:15:00 PM,31.85,66.45,30.4,60.2,2690680
9/4/2018 12:15:00 PM,27.4,37,20.9,31.85,1401200
9/4/2018 11:15:00 AM,32.7,34.2,22.45,27.4,874120
9/4/2018 10:15:00 AM,31.9,39.2,27.85,32.55,1161480
9/4/2018 9:15:00 AM,12.25,39.6,10.8,31.9,2030600
9/3/2018 3:15:00 PM,15.4,17.9,14.85,17.05,257560
9/3/2018 2:15:00 PM,7.65,16.35,7.15,15.4,560920
9/3/2018 1:15:00 PM,7.15,8.2,7,7.65,150200
9/3/2018 12:15:00 PM,7.4,7.6,6.7,7.15,76800
9/3/2018 11:15:00 AM,7.9,7.9,7.1,7.4,87720
9/3/2018 10:15:00 AM,8.2,8.55,7.45,7.9,102160
9/3/2018 9:15:00 AM,5.25,12.45,5.25,8.3,308240
8/31/2018 3:15:00 PM,13.65,14.45,12.8,13.45,118880
8/31/2018 2:15:00 PM,15.6,16.75,13.05,13.65,237160
8/31/2018 1:15:00 PM,17.7,17.7,14.9,15.5,227520
8/31/2018 12:15:00 PM,17.35,19,16.4,17.7,103360
8/31/2018 11:15:00 AM,19.1,20.6,16.2,17.35,155880
8/31/2018 10:15:00 AM,14,20.85,13.95,19,350040
8/31/2018 9:15:00 AM,20,22.2,12.9,14,544000
8/30/2018 3:15:00 PM,19.3,20.85,17.95,18.45,37720
8/30/2018 2:15:00 PM,25.05,27.45,19,19.3,113480
8/30/2018 1:15:00 PM,25.3,27.25,22.45,25.05,48200
8/30/2018 12:15:00 PM,22.4,26.8,19.6,25.3,63680
8/30/2018 11:15:00 AM,23.65,24.2,22,22.4,12720
8/30/2018 10:15:00 AM,26.6,26.7,22.65,23.65,43080
8/30/2018 9:15:00 AM,18.15,29.55,18.15,26.6,85360
8/29/2018 3:15:00 PM,22,24.35,20,21.05,5320
8/29/2018 2:15:00 PM,18.15,25.95,14.75,22,9760
8/29/2018 1:15:00 PM,18.6,20.9,17.45,18.15,2240
8/29/2018 12:15:00 PM,20.45,20.95,18.35,18.6,2720
8/29/2018 11:15:00 AM,18.4,21.55,18.4,20.45,2120
8/29/2018 10:15:00 AM,23,23,18,18.4,4120
8/29/2018 9:15:00 AM,26.75,26.75,18,23,7600
8/28/2018 3:15:00 PM,24.9,26.95,22.1,22.1,1160
8/28/2018 2:15:00 PM,26.8,29,22.55,24.9,6240
8/28/2018 1:15:00 PM,27.25,29.15,26.8,26.8,4080
8/28/2018 12:15:00 PM,26.8,27.3,22.7,27.25,2360
8/28/2018 11:15:00 AM,22.05,27.45,22.05,26.8,4840
8/28/2018 10:15:00 AM,25.85,28.5,21.45,22.05,2720
8/28/2018 9:15:00 AM,19.6,29.8,19,25.85,6800
8/27/2018 3:15:00 PM,24.5,25.9,23.15,25.45,2040
8/27/2018 2:15:00 PM,26.3,26.3,23.05,24.5,1520
8/27/2018 1:15:00 PM,25,27.35,24.05,26.3,1680
8/27/2018 12:15:00 PM,24.7,25.65,22.2,25,3400
8/27/2018 11:15:00 AM,25,25,24.55,24.7,600
8/27/2018 10:15:00 AM,27.5,28,24.5,25,3600
8/27/2018 9:15:00 AM,44.25,44.25,25.4,27.5,9720
8/24/2018 3:15:00 PM,77,77.3,74.25,76.5,2160
8/24/2018 2:15:00 PM,77.95,81.3,74.9,77,2040
8/24/2018 1:15:00 PM,79.9,80.05,69.8,77.95,1600
8/24/2018 12:15:00 PM,74.85,89,74.55,79.9,4560
8/24/2018 11:15:00 AM,72.85,74.85,66.25,74.85,3440
8/24/2018 10:15:00 AM,52.2,72.85,52.2,72.85,2920
8/24/2018 9:15:00 AM,47.7,56.1,41.95,52.2,12000
8/23/2018 3:15:00 PM,54,54,50.7,50.7,1360
8/23/2018 2:15:00 PM,60.1,60.1,53.4,54,120
8/23/2018 1:15:00 PM,65,67.1,60.1,60.1,80
8/23/2018 12:15:00 PM,55,65,55,65,40
8/23/2018 11:15:00 AM,60,61,55,55,1120
8/21/2018 3:15:00 PM,55,55,55,55,0
8/21/2018 2:15:00 PM,55,55,55,55,40
8/17/2018 3:15:00 PM,89.9,89.9,89.9,89.9,40
8/2/2018 3:15:00 PM,380,380,380,380,80
8/1/2018 3:15:00 PM,200,200,200,200,0
8/1/2018 2:15:00 PM,200,200,200,200,80
