Date,BANKNIFTY18SEPFUT O,BANKNIFTY18SEPFUT H,BANKNIFTY18SEPFUT L,BANKNIFTY18SEPFUT C,BANKNIFTY18SEPFUT V
9/6/2018 15:15,27577.85,27587.85,27525.1,27537.95,328080
9/6/2018 14:15,27569.85,27669.85,27551.55,27577.65,959400
9/6/2018 13:15,27450,27590,27418.45,27569.85,714320
9/6/2018 12:15,27516.25,27541.8,27384.95,27450.3,635720
9/6/2018 11:15,27573.2,27580,27491.2,27516.25,333000
9/6/2018 10:15,27530,27587.6,27516,27573.2,259720
9/6/2018 9:15,27559,27600.8,27432.6,27532,1225480
9/5/2018 15:15,27545.15,27580.25,27505.15,27510,256200
9/5/2018 14:15,27331.6,27562,27330.15,27549.85,1039000
9/5/2018 13:15,27395.45,27412.5,27309,27331.6,411440
9/5/2018 12:15,27422.05,27428.9,27320.25,27395.45,658200
9/5/2018 11:15,27512.5,27518.3,27405.65,27425.5,535640
9/5/2018 10:15,27554.85,27560,27503.25,27512.5,298560
9/5/2018 9:15,27571.8,27648.95,27480.15,27554.9,1010080
9/4/2018 15:15,27595.9,27644.9,27590,27636.75,263400
9/4/2018 14:15,27651.85,27664.05,27551.1,27599.6,728960
9/4/2018 13:15,27755.35,27764,27634.05,27651.85,588920
9/4/2018 12:15,27800,27860,27731.15,27757,706320
9/4/2018 11:15,27767.2,27824.55,27756.5,27800,261840
9/4/2018 10:15,27770.35,27796.9,27737.1,27767.2,326800
9/4/2018 9:15,27975,28033.35,27756.1,27772.75,1238680
9/3/2018 15:15,28025.85,28027,27965.4,27969.3,308240
9/3/2018 14:15,28149.9,28162,28011.65,28025.9,835400
9/3/2018 13:15,28172.2,28184.6,28135.05,28149.9,305840
9/3/2018 12:15,28189.7,28195.95,28151,28172.2,153440
9/3/2018 11:15,28200.85,28224.15,28177.8,28189.7,149120
9/3/2018 10:15,28191.05,28208.3,28174,28200.85,113760
9/3/2018 9:15,28270.15,28293.7,28130,28191.05,690200
