trade_date,order_execution_time,tradingsymbol,trade_type,quantity,price,expiry_date
5/4/2018,2018-05-04T09:41:39,BANKNIFTY1851026100CE,buy,40,25.15,5/10/2018
5/4/2018,2018-05-04T09:47:05,BANKNIFTY1851026100CE,sell,-40,26.35,5/10/2018
5/8/2018,2018-05-08T09:53:21,BANKNIFTY1851026200CE,buy,40,26.95,5/10/2018
5/8/2018,2018-05-08T11:35:38,BANKNIFTY1851026200CE,sell,-40,30.05,5/10/2018
5/8/2018,2018-05-08T12:43:52,BANKNIFTY1851026300CE,buy,40,21.45,5/10/2018
5/8/2018,2018-05-08T12:47:42,BANKNIFTY1851026300CE,sell,-40,20.25,5/10/2018
5/8/2018,2018-05-08T12:49:59,BANKNIFTY1851026300CE,buy,40,20.65,5/10/2018
5/8/2018,2018-05-08T15:22:55,BANKNIFTY1851026300CE,sell,-40,22.5,5/10/2018
5/9/2018,2018-05-09T12:20:13,BANKNIFTY1851026200CE,buy,40,34.25,5/10/2018
5/9/2018,2018-05-09T12:39:54,BANKNIFTY1851026200CE,sell,-40,37.1,5/10/2018
5/14/2018,2018-05-14T10:39:03,BANKNIFTY18MAYFUT,buy,80,26533.9,5/31/2018
5/14/2018,2018-05-14T10:59:34,BANKNIFTY18MAYFUT,sell,-40,26510,5/31/2018
5/14/2018,2018-05-14T10:59:34,BANKNIFTY18MAYFUT,sell,-40,26510,5/31/2018
5/14/2018,2018-05-14T11:52:22,BANKNIFTY18MAYFUT,sell,-80,26440.85,5/31/2018
5/14/2018,2018-05-14T12:06:49,BANKNIFTY18MAYFUT,buy,40,26422,5/31/2018
5/14/2018,2018-05-14T12:13:27,BANKNIFTY18MAYFUT,buy,40,26388.5,5/31/2018
5/14/2018,2018-05-14T14:31:20,BANKNIFTY18MAYFUT,sell,-120,26430.25,5/31/2018
5/14/2018,2018-05-14T14:43:24,BANKNIFTY18MAYFUT,buy,80,26486,5/31/2018
5/14/2018,2018-05-14T14:46:56,BANKNIFTY18MAYFUT,sell,-40,26450.1,5/31/2018
5/14/2018,2018-05-14T14:51:06,BANKNIFTY18MAYFUT,buy,40,26463.8,5/31/2018
5/14/2018,2018-05-14T14:51:09,BANKNIFTY18MAYFUT,buy,40,26463.8,5/31/2018
5/14/2018,2018-05-14T14:56:44,BANKNIFTY18MAYFUT,sell,-40,26451.65,5/31/2018
5/14/2018,2018-05-14T14:56:45,BANKNIFTY18MAYFUT,sell,-40,26451.65,5/31/2018
5/14/2018,2018-05-14T15:10:01,BANKNIFTY18MAYFUT,buy,40,26466.95,5/31/2018
5/14/2018,2018-05-14T15:10:03,BANKNIFTY18MAYFUT,buy,40,26466.95,5/31/2018
5/15/2018,2018-05-15T09:21:49,NIFTY18MAYFUT,buy,75,10815,5/31/2018
5/15/2018,2018-05-15T09:21:50,NIFTY18MAYFUT,buy,75,10815,5/31/2018
5/15/2018,2018-05-15T09:21:50,NIFTY18MAYFUT,buy,75,10815,5/31/2018
5/15/2018,2018-05-15T09:22:34,NIFTY18MAYFUT,sell,-75,10827.7,5/31/2018
5/15/2018,2018-05-15T09:22:37,NIFTY18MAYFUT,sell,-150,10830.15,5/31/2018
5/15/2018,2018-05-15T09:24:33,NIFTY18MAYFUT,buy,150,10857.15,5/31/2018
5/15/2018,2018-05-15T09:25:02,NIFTY18MAYFUT,sell,-75,10864.05,5/31/2018
5/15/2018,2018-05-15T09:25:03,NIFTY18MAYFUT,sell,-75,10864.05,5/31/2018
5/15/2018,2018-05-15T09:49:38,NIFTY18MAYFUT,buy,150,10886.1,5/31/2018
5/15/2018,2018-05-15T09:52:09,NIFTY18MAYFUT,sell,-75,10895.3,5/31/2018
5/15/2018,2018-05-15T09:55:42,NIFTY18MAYFUT,sell,-75,10915.7,5/31/2018
5/16/2018,2018-05-16T09:21:33,NIFTY18MAYFUT,sell,-75,10759.4,5/31/2018
5/16/2018,2018-05-16T09:24:59,NIFTY18MAYFUT,buy,75,10770.2,5/31/2018
5/16/2018,2018-05-16T09:25:16,NIFTY18MAYFUT,buy,75,10768.15,5/31/2018
5/16/2018,2018-05-16T09:26:36,NIFTY18MAYFUT,sell,-75,10766.85,5/31/2018
5/16/2018,2018-05-16T09:27:34,NIFTY18MAYFUT,sell,-75,10761.25,5/31/2018
5/16/2018,2018-05-16T09:28:09,NIFTY18MAYFUT,sell,-150,10760.5,5/31/2018
5/16/2018,2018-05-16T09:29:10,NIFTY18MAYFUT,buy,150,10755.9,5/31/2018
5/16/2018,2018-05-16T09:29:10,NIFTY18MAYFUT,buy,75,10756,5/31/2018
5/16/2018,2018-05-16T09:31:35,NIFTY18MAYFUT,sell,-75,10745.55,5/31/2018
5/16/2018,2018-05-16T09:31:35,NIFTY18MAYFUT,sell,-150,10745.3,5/31/2018
5/16/2018,2018-05-16T09:31:53,NIFTY18MAYFUT,buy,75,10744.5,5/31/2018
5/16/2018,2018-05-16T09:31:53,NIFTY18MAYFUT,buy,150,10744.5,5/31/2018
5/16/2018,2018-05-16T09:35:22,NIFTY18MAYFUT,sell,-150,10741.1,5/31/2018
5/16/2018,2018-05-16T09:38:26,NIFTY18MAYFUT,buy,150,10736,5/31/2018
5/16/2018,2018-05-16T09:43:28,NIFTY18MAYFUT,sell,-150,10742.05,5/31/2018
5/16/2018,2018-05-16T09:45:30,NIFTY18MAYFUT,buy,75,10737,5/31/2018
5/16/2018,2018-05-16T09:45:30,NIFTY18MAYFUT,buy,75,10737,5/31/2018
5/16/2018,2018-05-16T09:52:14,NIFTY18MAYFUT,sell,-75,10732,5/31/2018
5/16/2018,2018-05-16T09:52:14,NIFTY18MAYFUT,sell,-75,10732,5/31/2018
5/16/2018,2018-05-16T09:56:53,NIFTY18MAYFUT,buy,75,10734.4,5/31/2018
5/16/2018,2018-05-16T09:57:53,NIFTY18MAYFUT,sell,-75,10730.55,5/31/2018
5/16/2018,2018-05-16T09:57:53,NIFTY18MAYFUT,sell,-75,10730.55,5/31/2018
5/16/2018,2018-05-16T10:01:28,NIFTY18MAYFUT,buy,225,10736.6,5/31/2018
5/16/2018,2018-05-16T10:03:11,NIFTY18MAYFUT,sell,-75,10728.9,5/31/2018
5/16/2018,2018-05-16T10:03:11,NIFTY18MAYFUT,sell,-150,10728.8,5/31/2018
5/16/2018,2018-05-16T10:05:42,NIFTY18MAYFUT,buy,75,10737,5/31/2018
5/16/2018,2018-05-16T10:05:42,NIFTY18MAYFUT,buy,150,10737,5/31/2018
5/16/2018,2018-05-16T10:10:49,NIFTY18MAYFUT,sell,-225,10732.05,5/31/2018
5/16/2018,2018-05-16T10:11:31,NIFTY18MAYFUT,buy,75,10727,5/31/2018
5/16/2018,2018-05-16T10:11:31,NIFTY18MAYFUT,buy,75,10727,5/31/2018
5/16/2018,2018-05-16T10:11:49,NIFTY18MAYFUT,sell,-150,10725.1,5/31/2018
5/16/2018,2018-05-16T10:14:44,NIFTY18MAYFUT,buy,75,10728,5/31/2018
5/16/2018,2018-05-16T10:14:44,NIFTY18MAYFUT,buy,75,10728,5/31/2018
5/16/2018,2018-05-16T10:14:44,NIFTY18MAYFUT,buy,75,10728,5/31/2018
5/16/2018,2018-05-16T10:20:35,NIFTY18MAYFUT,buy,225,10736.95,5/31/2018
5/16/2018,2018-05-16T10:22:19,NIFTY18MAYFUT,sell,-75,10744.2,5/31/2018
5/16/2018,2018-05-16T10:22:39,NIFTY18MAYFUT,sell,-75,10740,5/31/2018
5/16/2018,2018-05-16T10:22:39,NIFTY18MAYFUT,sell,-75,10740,5/31/2018
5/16/2018,2018-05-16T10:22:39,NIFTY18MAYFUT,sell,-75,10740,5/31/2018
5/16/2018,2018-05-16T10:23:36,NIFTY18MAYFUT,buy,75,10743,5/31/2018
5/16/2018,2018-05-16T12:53:03,NIFTY18MAYFUT,buy,75,10778.65,5/31/2018
5/16/2018,2018-05-16T12:53:03,NIFTY18MAYFUT,buy,75,10779,5/31/2018
5/16/2018,2018-05-16T12:53:03,NIFTY18MAYFUT,buy,75,10779,5/31/2018
5/16/2018,2018-05-16T13:02:10,NIFTY18MAYFUT,sell,-150,10793,5/31/2018
5/16/2018,2018-05-16T13:05:59,NIFTY18MAYFUT,sell,-75,10812.6,5/31/2018
5/17/2018,2018-05-17T09:21:49,NIFTY18MAYFUT,buy,225,10774,5/31/2018
5/17/2018,2018-05-17T09:26:57,NIFTY18MAYFUT,sell,-225,10761.55,5/31/2018
5/17/2018,2018-05-17T09:28:14,NIFTY18MAYFUT,buy,150,10765.1,5/31/2018
5/17/2018,2018-05-17T09:32:19,NIFTY18MAYFUT,buy,75,10763.6,5/31/2018
5/17/2018,2018-05-17T09:36:29,NIFTY18MAYFUT,sell,-75,10753.6,5/31/2018
5/17/2018,2018-05-17T09:36:29,NIFTY18MAYFUT,sell,-150,10753.6,5/31/2018
5/17/2018,2018-05-17T09:36:50,NIFTY18MAYFUT,sell,-75,10755.95,5/31/2018
5/17/2018,2018-05-17T09:36:50,NIFTY18MAYFUT,sell,-75,10755.75,5/31/2018
5/17/2018,2018-05-17T09:38:12,NIFTY18MAYFUT,buy,150,10759,5/31/2018
5/17/2018,2018-05-17T09:41:59,NIFTY18MAYFUT,buy,150,10757.85,5/31/2018
5/17/2018,2018-05-17T09:43:59,NIFTY18MAYFUT,sell,-150,10751.2,5/31/2018
5/17/2018,2018-05-17T11:44:31,NIFTY18MAYFUT,buy,150,10732.3,5/31/2018
5/17/2018,2018-05-17T11:54:43,NIFTY18MAYFUT,sell,-150,10730.6,5/31/2018
5/21/2018,2018-05-21T09:26:50,NIFTY18MAYFUT,sell,-75,10601.5,5/31/2018
5/21/2018,2018-05-21T09:34:32,NIFTY18MAYFUT,sell,-75,10609.05,5/31/2018
5/21/2018,2018-05-21T09:36:12,NIFTY18MAYFUT,buy,150,10618.3,5/31/2018
5/21/2018,2018-05-21T09:39:50,NIFTY18MAYFUT,buy,75,10624,5/31/2018
5/21/2018,2018-05-21T09:39:50,NIFTY18MAYFUT,buy,75,10624,5/31/2018
5/21/2018,2018-05-21T09:44:49,NIFTY18MAYFUT,sell,-75,10619.4,5/31/2018
